product_name,original_price,discounted_price,discount_percent,premium,quantity,rating,review_count,delivery_time,category,selling_price
My First Activity Book Word Search,129,1,96,No,1 pcs,4.5,67,22,books,128
2000+ Reward Stickers Book,220,94,57,No,2 pcs,4.9,78,22,books,126
My First Book Of Writing Numbers ,60,11,81,No,1 pcs,4.5,945,22,books,49
The Adventures of Sherlock Holmes,499,216,56,No,2 pcs,4.4,170,22,books,283
Science Books For Kids,180,61,66,No,1 pcs,4.5,71,22,books,119
My First Big Picture Board Book Abc,120,21,82,No,2 pcs,4.7,68,22,books,99
Kids Encyclopedia,155,60,61,No,2 pcs,4.8,82,22,books,95
Shlokas and Mantras and Hanuman Chalisa for Kids Age 2+,110,39,64,No,2 pcs,4.6,88,22,books,71
My First Sticker Book,135,60,55,No,1 pcs,2.9,82,22,books,75
My First 1000 Words Book L 50 Topics With Engaging Picture Book For Early Learners,299,127,57,No,2 pcs,4.6,75,22,books,172
My First Sticker Book,135,32,76,No,1 pcs,4.5,88,22,books,103
Charlotte'S Web,399,140,64,No,3 pcs,4.3,622,22,books,259
My World,350,136,61,No,2 pcs,3.6,73,22,books,214
My Cute Board Book Abc,70,11,84,No,1 pcs,4.3,71,22,books,59
My First Sticker Book,125,45,64,No,1 pcs,3.1,70,22,books,80
Under the Ocean,200,67,66,No,2 pcs,4.5,52,22,books,133
My First Sticker Book,125,45,64,No,1 pcs,4.5,82,22,books,80
My First Big Picture Board Book Numbers 1,120,51,57,No,1 pcs,4.6,126,22,books,69
Life Lessons,210,83,60,No,2 pcs,3.9,67,22,books,127
My First Sticker Book,135,45,66,No,1 pcs,4.5,77,22,books,90
Moral Stories for Kids,125,42,66,No,2 pcs,4.5,98,22,books,83
Story Books for Kids,210,90,57,No,2 pcs,4.7,117,22,books,120
Story Books for Kids,210,72,65,No,2 pcs,4.5,90,22,books,138
Cursive Writing Book,110,38,65,No,2 pcs,4.9,112,22,books,72
My First Learning Library,395,160,59,No,3 pcs,4.9,86,22,books,235
Story Books for Kids,350,151,56,No,3 pcs,4.5,80,22,books,199
My First Board Book Animals,155,56,63,No,1 pcs,4.6,151,22,books,99
Reading Comprehension Activity Book for Kids,125,42,66,No,1 pcs,4.9,86,22,books,83
My First Shapes and Colours Sticker Book,200,100,50,No,1 pcs,4.6,724,22,books,100
Lost Bookshop,599,240,59,No,4 pcs,4.6,118,22,books,359
My Cute Board Book Numbers,70,31,55,No,1 pcs,4.3,291,22,books,39
108 Akbar Birbal Stories,180,62,65,No,2 pcs,4.6,107,22,books,118
My First Mythology Tale,275,110,60,No,2 pcs,4.5,80,22,books,165
My First Classic For Children,999,405,59,No,4 pcs,4.3,816,22,books,594
Story Book for Kids,275,92,66,No,2 pcs,4.2,409,22,books,183
Brain Activity Book for Kids,155,35,77,No,1 pcs,3.9,153,22,books,120
Story Books for Kids,420,182,56,No,2 pcs,4.5,60,22,books,238
Activity Book for Kids,250,104,58,No,2 pcs,4.5,68,22,books,146
Story Books for Kids,700,280,60,No,3 pcs,4.5,59,22,books,420
Story Book for Kids,275,96,65,No,1 pcs,4.2,952,22,books,179
The Comfort Book,599,250,58,No,2 pcs,4.6,913,22,books,349
Story Book for Kids,350,161,54,No,1 pcs,4.5,75,22,books,189
Story Books for Kids,350,132,62,No,2 pcs,4.5,99,22,books,218
Story Book for Kids,350,137,60,No,1 pcs,4.5,53,22,books,213
Bible Stories,180,68,62,No,2 pcs,4.5,108,22,books,112
Good Habits For Kids,205,84,59,No,1 pcs,4.5,66,22,books,121
Story Books for Kids,180,62,65,No,1 pcs,4.9,121,22,books,118
Story Book for Kids,350,161,54,No,1 pcs,4.9,83,22,books,189
Brain Boosting Activity Book for Kids,155,43,72,No,1 pcs,4.6,114,22,books,112
Brain Boosting Activity Book Set,160,56,65,No,1 pcs,3.2,123,22,books,104
Oswaal Books Lil Legends Know Me Series,276,61,77,No,2 pcs,4.3,713,22,books,215
My First Board Book Animals,155,56,63,No,1 pcs,4.2,593,22,books,99
Diary Of A Wimpy Kid No Brainer,599,190,68,No,1 pcs,4.4,65,22,books,409
Brilliant Brain Activity Book 3+,280,89,68,No,1 pcs,4.4,630,22,books,191
Dreamland My First Amazing and Ultimate Book Pack,500,171,65,No,2 pcs,4.6,257,22,books,329
Moral Story Book for Kids,95,32,66,No,1 pcs,4.8,84,22,books,63
Brain Booster Activity Books Set,400,170,57,No,2 pcs,4.3,73,22,books,230
The Kalki Trilogy,999,380,61,No,3 pcs,4.4,413,22,books,619
My First Sticker Book,135,31,77,No,1 pcs,4.5,94,22,books,104
The Best Of Dale Carnegie,999,480,51,No,3 pcs,4.3,939,22,books,519
Story Books for Kids,180,70,61,No,1 pcs,3.4,73,22,books,110
365 Math Activity Book,250,107,57,No,1 pcs,4.3,57,22,books,143
My First Dinosaur Sticker Book,200,95,52,No,1 pcs,4.2,734,22,books,105
My First Pop,199,78,60,No,1 pcs,4.7,193,22,books,121
Moral Story Books for Kids,350,131,62,No,2 pcs,4.9,71,22,books,219
Brilliant Brain Activity Book 4+,280,89,68,No,1 pcs,4.5,110,22,books,191
My First Sticker Book,125,36,71,No,1 pcs,4.5,71,22,books,89
Story Books for Kids,210,72,65,No,1 pcs,4.3,86,22,books,138
The Ram Chandra Series Boxset Of 4 Books,1695,776,54,No,4 pcs,4.3,929,22,books,919
Brilliant Brain Activity Book 5+,280,89,68,No,1 pcs,4.5,49,22,books,191
Story Book for Kids,125,46,63,No,1 pcs,4.3,730,22,books,79
Kids' First Library Box Set Of 20 Board Books L Gift Set For Kids,1399,652,53,No,5 pcs,3.7,68,22,books,747
My First Board Book Animals,155,56,63,No,1 pcs,4.4,493,22,books,99
Stories from Ramayana and Mahabharata,360,140,61,No,2 pcs,4.2,85,22,books,220
My First Experiences Sticker Book: My First Sticker Books,249,85,65,No,1 pcs,4.7,342,22,books,164
Activity Book for Kids,125,42,66,No,1 pcs,4.4,87,22,books,83
Heroes Of Olympus Complete Collection,2499,1,99,No,7 pcs,4.7,516,22,books,2498
Picture Talk and Conversation Book for Kids,125,43,65,No,1 pcs,4.7,92,22,books,82
My First Board Book Animals,155,56,63,No,1 pcs,4.2,900,22,books,99
My First Transport Sticker Book,200,85,57,No,1 pcs,4.7,248,22,books,115
Mythology Tales,350,161,54,No,1 pcs,2.8,85,22,books,189
"Kids' First 4 In 1 Board Book L Colors, Shapes, Alphabet, Numbers L Early Learning",299,125,58,No,1 pcs,4.7,78,22,books,174
My First Board Book Animals Monkey,625,236,62,No,2 pcs,4.7,734,22,books,389
Phonic Reader,240,94,60,No, 1 pcs,4.2,81,22,books,146
Seek And Find,349,140,59,No,2 pcs,4.6,759,22,books,209
My First Pop Up Fairy Tales,199,70,64,No,1 pcs,4.7,581,22,books,129
My First Animals Sticker Book,200,83,58,No,1 pcs,4.2,62,22,books,117
Harry Potter Box Set,4999,2,99,No,1 pcs,4.5,65,22,books,497
Story Books For Kids,180,70,61,No,1 pcs,4.5,67,22,books,110
Brain Activity Book for Kids,125,41,67,No,1 pcs,4.9,108,22,books,84
My First Sticker Book,125,42,66,No,1 pcs,4.1,59,22,books,83
Little Colouring Books for Kids,300,102,66,No,1 pcs,4.5,118,22,books,198
My First Abc Sticker Book,200,95,52,No,1 pcs,4.6,57,22,books,105
Writing Books For Kids,305,136,55,No,1 pcs,4.5,60,22,books,169
Dreamland My Super Fancy Glam Purse Pack,800,281,64,No,1 pcs,4.5,294,22,books,519
Cursive Writing Books,220,84,61,No,1 pcs,4.2,87,22,books,136
My First Sticker Book,135,39,71,No,1 pcs,4.4,468,22,books,96
Story Books for Kids,395,149,62,No,2 pcs,4.4,302,22,books,246
Maktub,499,193,61,No,3 pcs,4.3,419,22,books,306
Story Books for Kids,550,211,61,No,3 pcs,4.7,521,22,books,339
Oswaal Books Lil Legends Book Of Stickers For Kids,199,80,59,No,1 pcs,4.5,55,22,books,119
Story Books for Kids,420,177,57,No,2 pcs,4.5,75,22,books,243
Oswaal Books Lil Legends Book Of Stickers For Kids,199,41,79,No,1 pcs,4.5,834,22,books,158
Sticker Books Fairy,500,200,60,No,2 pcs,4.3,120,22,books,300
My Baby Record Book,300,121,59,No,1 pcs,4.4,495,22,books,179
In the Jungle,200,62,69,No,1 pcs,4.8,54,22,books,138
Story Books for Kids,500,231,53,No,2 pcs,4.1,57,22,books,269
My First Sticker Books,500,199,60,No,2 pcs,4.9,78,22,books,301
Dreamland Pop,800,281,64,No,3 pcs,4.6,282,22,books,519
Harry Potter And The Philosopher's Stone,499,140,71,No,3 pcs,4.9,89,22,books,359
Dreamland My Complete Kit of Nursery Books,1960,691,64,No,3 pcs,4.3,636,22,books,1269
Dreamland Sticker Activity Book,750,261,65,No,3 pcs,4.7,275,22,books,489
Dreamland Explore Encyclopedia Books Pack of 8 Books,2240,781,65,No,3 pcs,4.2,357,22,books,1459
The Count of Monte Cristo,1199,468,60,No,3 pcs,4.3,246,22,books,731
Dreamland My Complete Kit of Pre,1550,729,52,No,3 pcs,4.6,176,22,books,821
Dreamland My Complete Kit of Kindergarten Books,3045,1,99,No,1 pcs,4.3,917,22,books,304
Chrome Pocket Watercolor Painting Book 20 Pages For Kids,80,25,68,No,1 pcs,2.7,132,22,books,55
Shapes,49,1,97,No,1 pcs,4.3,833,22,books,48
Fruits,49,1,97,No,1 pcs,4.3,984,22,books,48
Art,70,11,84,No,1 pcs,4.8,71,22,books,59
First All in One Writing Book,125,46,63,No,1 pcs,4.5,99,22,books,79
Oswaal Books Lil Legends Book Of Copy Colouring For Kids,59,1,77,No,1 pcs,4.5,81,22,books,58
My First Sticker Book Shapes and Colours,135,31,77,No,1 pcs,3.8,122,22,books,104
Motivation,150,71,52,No,1 pcs,4.5,77,22,books,79
Oswaal Books Lil Legends Creative Crayon Colouring Book,199,80,59,No,1 pcs,4.7,66,22,books,119
365 Colouring Book,400,126,68,No,1 pcs,4.9,135,11,books,274
Little Colouring Books for Kids,450,201,55,No,1 pcs,4.5,83,22,books,249
100+ Copy Coloring Activity Book L Copy Coloring Books For Kids,249,77,69,No,1 pcs,4.4,75,22,books,172
Oswaal Books Lil Legends Creative Crayon Colouring Book,199,38,80,No,1 pcs,4.3,61,22,books,161
Oswaal Books Lil Legends My First Book Of Patterns,199,80,59,No,1 pcs,4.5,149,22,books,119
Dreamland Superman Copy Colouring and Activity Books Set of 5,850,301,64,No,1 pcs,4.5,300,22,books,549
Britannia Milk Slice White Bread,65,9,86,Yes,350 g,4.6,350,9,Bread,56
The Health Factory Zero Maida Protein Bread,85,14,83,Yes,250 g,4.2,250,9,Bread,71
Britannia Milk Slice White Bread,30,4,86,No,200 g,4.5,200,9,Bread,26
Britannia Milk Slice White Bread,55,10,81,Yes,400 g,4.6,400,9,Bread,45
Britannia Milk Slice White Bread,55,3,94,No,400 g,4.5,400,9,Bread,52
Modern Sandwich Supreme White Bread,55,10,81,No,400 g,4.5,400,9,Bread,45
Spencer's Premium Milk Bread,55,3,94,No,400 g,4.6,400,9,Bread,52
The Health Factory Zero Maida Bombay Pav,40,3,92,Yes,401 g,4.3,40,9,Bread,37
Modern Bread Milk Plus,55,3,94,No,400 g,4.6,400,9,Bread,52
Modern Bread Milk Plus,55,3,94,No,400 g,4.5,400,9,Bread,52
Protein Chef 5 Super Foods Multigrain Brown Bread,69,3,95,Yes,270 g,4.3,270,9,Bread,66
Modern Family Special White Bread,50,2,96,No,400 g,4.6,400,9,Bread,48
Britannia Breakfast Slice White Bread,55,6,89,No,450 g,4.6,450,9,Bread,49
Britannia Breakfast Slice White Bread,55,4,92,Yes,250 g,4.4,250,9,Bread,51
Modern Multigrain Bread,60,9,85,Yes,400 g,4.5,400,9,Bread,51
Spencer's Premium Sandwich Bread,55,3,94,No,400 g,4.6,400,9,Bread,52
Protein Chef High Protein Brown Bread,59,3,94,Yes,270 g,4.3,270,9,Bread,56
Spencer's Brown Bread,55,3,94,No,400 g,4.6,400,9,Bread,52
Spencer's Brown Bread,59,3,94,Yes,250 g,4.3,250,9,Bread,56
The Health Factory Zero Maida Multigrain Bread,70,12,82,Yes,250 g,4.4,250,9,Bread,58
Britannia Vita Rich Sandwich Premium White Bread,50,2,96,No,400 g,4.6,400,9,Bread,48
Modern Sandwich Supreme White Bread,90,4,95,No,800 g,4.5,800,9,Bread,86
Britannia Fruit Bread,55,9,83,No,400 g,4.4,400,9,Bread,46
Daily Good Milk Bread,60,17,71,No,400 g,4.4,312,9,Bread,43
Daily Good Milk Bread,55,13,76,No,400 g,4.3,319,9,Bread,42
Daily Good White Bread,55,15,72,No,400 g,4.5,176,9,Bread,40
Daily Good Brown Bread,60,18,70,No,400 g,4.4,148,9,Bread,42
Britannia Milk Slice White Bread Combo,110,6,94,No,400 g,4.2,831,9,Bread,104
Britannia Milk Slice White Bread Combo,110,20,81,No,400 g,4.4,635,9,Bread,90
Britannia Fruit Bread,30,2,93,No,200 g,4.3,200,9,Bread,28
Modern Cremtreat Vanilla Cream Bun,110,10,77,No,50 g,4.5,68,9,Bread,100
Modern Cremtreat Vanilla Cream Bun Combo,30,3,90,No,50 g,4.7,318,9,Bread,27
