Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Nestle Munch Max Choco Coated Crunchy Wafer Bar,20,3,85,No,5 g,4.8,190,5 mins,chocolate,17
Cadbury Dairy Milk Chocolate Bar,25,1,96,No,26 g,4.8,28,5 mins,chocolate,24
Snickers Peanut Filled Chocolate Bar Loaded with Delicious Roasted Peanuts Combo,90,12,86.67,No,75 g,4.7,188,5 mins,chocolate,78
Snickers Best of Minis Assorted Chocolates Mini Pack Combo,398,100,74.87,No,150 g,4.5,50,5 mins,chocolate,298
Cadbury 5 Star Chocolate Bar,20,3,85,No,33 g,4.8,80,5 mins,chocolate,17
Nestle KitKat 4 Fingers Choco Coated Wafer Bar,35,10,71.43,No,5 g,4.8,250,5 mins,chocolate,25
Snickers Minis Chocolate Pack Loaded with Peanuts Nougat,135,34,74.81,No,75 g,4.8,135,5 mins,chocolate,101
Cadbury 5 Star Chocolate Bar Kitted,53,10,81.13,No,16 g,4.8,53,5 mins,chocolate,43
Snickers Minis Chocolate Pack Loaded with Peanuts Nougat,199,45,77.39,No,150 g,4.8,199,5 mins,chocolate,154
Nestle KitKat Minis Choco Coated Wafer Bar,149,27,81.88,No,4 g,4.7,149,5 mins,chocolate,122
Hershey's Kisses Milk Chocolate Share Bag,53,17,67.92,No,36 g,4.7,53,5 mins,chocolate,36
Snickers Best of Minis Assorted Chocolates Mini Pack,199,50,74.87,No,150 g,4.6,199,5 mins,chocolate,149
Snickers Minis Chocolate Pack Loaded with Peanuts Nougat,398,90,77.39,No,200 g,4.2,799,5 mins,chocolate,308
Nestle Milkybar Choo Strawberry Flavour Sharebag,50,9,82,No,45 g,4.8,50,5 mins,chocolate,41
Nestle Munch Choco Coated Wafer Bar,100,17,83,No,7 g,4.8,100,5 mins,chocolate,83
Amul Milk Chocolate Smooth And Creamy,200,33,83.5,No,150 g,4.7,200,5 mins,chocolate,167
Amul Almondo Chocolate,230,30,86.96,No,100 g,4.7,230,5 mins,chocolate,200
Cadbury Dairy Milk Chocolate Bar,53,9,83.02,No,46 g,4.8,313,5 mins,chocolate,44
Cadbury Dairy Milk Crispello Chocolate Bar,40,8,80,No,35 g,4.7,44,5 mins,chocolate,32
Amul Fruit 'N' Nut Chocolate,180,7,96.11,No,150 g,4.8,180,5 mins,chocolate,173
Twix Cookie Caramel Chocolate Bar Combo,178,52,70.79,No,140 g,4.4,478,5 mins,chocolate,126
Cadbury Dairy Milk Silk Oreo Chocolate Bar,98,16,83.67,No,5 g,4.8,98,5 mins,chocolate,82
Cadbury Dairy Milk Fruit,49,6,87.76,No,36 g,4.8,90,5 mins,chocolate,43
Twix Minis Cookie Caramel Chocolate Pack,189,42,77.78,No,135 g,4.9,189,5 mins,chocolate,147
Twix Cookie Caramel Chocolate Bar,89,26,70.79,No,50 g,4.8,89,5 mins,chocolate,63
Cadbury Celebrations Assorted Chocolate Gift Pack,50,9,82,No,45 g,4.7,52,5 mins,chocolate,41
Snickers Peanut Filled Chocolate Bar Loaded with Delicious Roasted Peanuts,45,6,86.67,No,40 g,4.7,45,5 mins,chocolate,39
Go Zero,110,53,51.82,No,50 g,3.8,120,5 mins,chocolate,57
Go Zero,220,106,51.82,No,75 g,4.2,385,5 mins,chocolate,114
Cadbury Dairy Milk Chocolate Bar,125,25,80,No,112 g,4.8,313,5 mins,chocolate,100
Cadbury Fuse Chocolate Bar,45,9,80,No,43 g,4.8,45,5 mins,chocolate,36
Cadbury Dairy Milk Bites Almond Chocolate Pack,89,15,83.15,No,50 g,4.7,89,5 mins,chocolate,74
Hershey's Creamy Milk Chocolate Bar,53,9,83.02,No,38 g,4.7,53,5 mins,chocolate,44
Hershey's Creamy Milk Chocolate Bar,80,23,71.25,No,5 g,4.5,80,5 mins,chocolate,57
Hershey's Dark Chocolate Bar,75,27,64,No,38 g,4.7,75,5 mins,chocolate,48
Hershey's Cookies 'N' Creme Chocolate Bar,62,12,80.65,No,38 g,4.7,62,5 mins,chocolate,50
Kinder Creamy Milky And Cocoa With Extruded Rice,25,3,88,No,19 g,4.7,25,5 mins,chocolate,22
Hershey's Exotic Dark Blueberry And Acai Chocolates Share Bag,57,16,71.93,No,3 g,4.6,57,5 mins,chocolate,41
Cadbury Dairy Milk Silk Bubbly Chocolate Bar,98,5,94.9,No,46 g,4.8,98,5 mins,chocolate,93
Cadbury Dairy Milk Silk Chocolate Bar,102,11,89.22,No,55 g,4.8,102,5 mins,chocolate,91
Snickers Peanut Filled Chocolate Bar Loaded with Delicious Roasted Peanuts,135,21,84.44,No,120 g,4.7,135,5 mins,chocolate,114
Hershey's Whole Almonds Chocolate Bar,62,18,70.97,No,40 g,4.7,62,5 mins,chocolate,44
Hershey's Kisses Cookies 'N' Cream Chocolate Share Bag,65,27,58.46,No,6 g,4.7,65,5 mins,chocolate,38
Nestle KitKat Delights Caramel,90,25,72.22,No,50 g,4.6,90,5 mins,chocolate,65
Cadbury Dairy Milk Bites Hazelnut Chocolate Pack,89,18,79.78,No,45 g,4.7,89,5 mins,chocolate,71
Hershey's Kisses With Almonds Chocolate Share Bag,65,14,78.46,No,6 g,4.7,65,5 mins,chocolate,51
Cadbury Dairy Milk Silk Mousse Chocolate Bar,98,7,92.86,No,5 g,4.7,98,5 mins,chocolate,91
Galaxy Smooth Milk Chocolate Bar for Gifting,130,55,57.69,No,56 g,4.7,130,5 mins,chocolate,75
Cadbury 5 Star Mini Treat Chocolate Pack,200,59,70.5,No,45 g,4.8,200,5 mins,chocolate,141
Cadbury Dairy Milk Silk Fruit and Nut Chocolate Bar,98,13,86.73,No,51 g,4.8,98,5 mins,chocolate,85
Cadbury Temptations Almond Treat Premium Chocolate Bar,125,25,80,No,70 g,4.8,125,5 mins,chocolate,100
Amul Dark Chocolate Bar,180,9,95,No,150 g,4.8,180,5 mins,chocolate,171
Hershey's Exotic Dark Chocolate Californian Almonds,60,16,73.33,No,30 g,4.6,60,5 mins,chocolate,44
Bounty Miniatures Coconut Filled Chocolate Pack,179,66,63.13,No,56 g,4.7,179,5 mins,chocolate,113
Hershey's Exotic Raspberry,65,23,64.62,No,3 g,4.7,65,5 mins,chocolate,42
Cadbury 5 Star 3D Chocolate Bar,45,9,80,No,40 g,4.8,45,5 mins,chocolate,36
Cadbury Dairy Milk Silk Ganache Chocolate Bar,110,27,75.45,No,54 g,4.7,110,5 mins,chocolate,83
Cadbury Temptations Rum,125,22,82.4,No,70 g,4.7,125,5 mins,chocolate,103
Cadbury Dairy Milk Silk Hazelnut Chocolate Bar,98,6,93.88,No,54 g,4.8,98,5 mins,chocolate,92
Cadbury Dairy Milk Silk Chocolate Mini Treats Pack,214,64,70.09,No,76 g,4.8,214,5 mins,chocolate,150
Cadbury Perk Plus Chocolate Coated Wafer Bar,19,1,94.74,No,38 g,4.7,220,5 mins,chocolate,18
Cadbury Dairy Milk Silk Chocolate Bar,250,74,70.4,No,144 g,4.8,250,5 mins,chocolate,176
Cadbury Dairy Milk Mini Treats Chocolate Pack,149,48,67.79,No,56 g,4.6,149,5 mins,chocolate,101
Hershey's Kisses Choco Truffle,99,28,71.72,No,45 g,4.6,99,5 mins,chocolate,71
Cadbury Dairy Milk Silk Desserts Plum Cake Chocolate Bar,120,29,75.83,No,70 g,4.5,120,5 mins,chocolate,91
Nova Nova Best Bite Choco Filled Cones,99,24,75.76,No,50 g,4.6,99,5 mins,chocolate,75
Cadbury Dairy Milk Fruit,107,13,87.85,No,75 g,4.8,107,5 mins,chocolate,94
Luvit Goodies Assorted Chocolate Gift Pack,90,39,56.67,No,55 g,4.6,848,5 mins,chocolate,51
"Fabelle Hazelnut Handcrafted Chocolate Truffles Inspired by Classic Desserts, Assorted Luxury Chocolates Gift Pack",120,42,65,No,55 g,3.6,587,5 mins,chocolate,78
Mars Caramel Chocolate Bar,89,18,79.78,No,51 g,4.4,89,5 mins,chocolate,71
Hershey's Kisses Milk Chocolate Share Bag,170,58,65.88,No,108 g,4.7,170,5 mins,chocolate,112
Nova Nova Best Bite,99,21,78.79,No,50 g,4.5,99,5 mins,chocolate,78
Hershey's Kisses Everyday Moments Chocolate Gift Pack,199,58,70.85,No,75 g,4.6,199,5 mins,chocolate,141
Snickers Almond Filled Chocolate Bar,80,23,71.25,No,45 g,4.7,80,5 mins,chocolate,57
Cadbury Dairy Milk Silk Oreo Chocolate Bar,240,43,82.08,No,124 g,4.8,240,5 mins,chocolate,197
Nestle KitKat Delights Rich,210,57,72.86,No,150 g,4.6,210,5 mins,chocolate,153
Nova Nova Choco Pockets,98,24,75.51,No,30 g,3.6,98,5 mins,chocolate,74
Galaxy Smooth Milk Chocolate Bar for Gifting,199,51,74.37,No,110 g,4.7,199,5 mins,chocolate,148
Hershey's Cookies N Creme Chocolate Bar,170,58,65.88,No,90 g,4.7,170,5 mins,chocolate,112
Cadbury Dairy Milk Silk Roast Almond Chocolate Bar,214,28,86.92,No,134 g,4.8,214,5 mins,chocolate,186
Cadbury Dairy Milk Silk Fruit and Nut Chocolate Bar,214,38,82.24,No,129 g,4.8,214,5 mins,chocolate,176
Cadbury Dairy Milk Silk Fruit and Nut Chocolate Bar,200,63,68.5,No,125 g,4.7,200,5 mins,chocolate,137
Hershey's Kisses Almonds Chocolate Share Bag,170,43,74.71,No,8 g,4.6,170,5 mins,chocolate,127
Hershey's Whole Almonds Chocolate Bar,145,33,77.24,No,90 g,4.7,145,5 mins,chocolate,112
Cadbury Dairy Milk Silk Mousse Chocolate Bar,240,55,77.08,No,110 g,4.7,240,5 mins,chocolate,185
Cadbury Dairy Milk Silk Bubbly Chocolate Bar,240,73,69.58,No,112 g,4.8,240,5 mins,chocolate,167
Hershey's Kisses Hazelnut 'N' Cookies Chocolate Share Bag,170,43,74.71,No,8 g,4.6,939,5 mins,chocolate,127
Hershey's Kisses Hazelnut 'N' Cookies Chocolate Share Bag,130,16,87.69,No,56 g,4.6,130,5 mins,chocolate,114
Cadbury Dairy Milk Silk Ganache Chocolate Bar,134,34,74.63,No,78 g,4.7,134,5 mins,chocolate,100
Cadbury Dairy Milk Silk Ganache Chocolate Bar,240,55,77.08,No,137 g,4.7,240,5 mins,chocolate,185
Hershey's Exotic Dark Blueberry And Acai Chocolate Share Bag,175,49,72,No,100 g,4.7,175,5 mins,chocolate,126
Hershey's Cookies N Creme Chocolate Share Bag,170,57,66.47,No,8 g,3.9,433,5 mins,chocolate,113
Nova Nova Waffle Chocolates,199,53,73.37,No,20 g,4.3,199,5 mins,chocolate,146
Hershey's Exotic Dark Pomegranate Chocolate Share Bag,175,59,66.29,No,100 g,4.4,569,5 mins,chocolate,116
Sugar Free D'lite Rich Cocoa Dark Chocolate Bar,110,38,65.45,No,40 g,4.6,110,5 mins,chocolate,72
Cadbury Dairy Milk Silk Hazelnut Chocolate Bar,240,47,80.42,No,134 g,4.8,240,5 mins,chocolate,193
Sugar free D'lite Hazelnut,97,25,74.23,No,40 g,4.6,97,5 mins,chocolate,72
Lo Foods Dark Chocolate Bar Hazelnut Premium Sugar Free Chocolate Rich Healthy Chocolates,179,11,93.85,No,40 g,,121,5 mins,chocolate,168
Hershey's Exotic Raspberry And Goji Dark Chocolate Share Bag,175,49,72,No,100 g,4.6,175,5 mins,chocolate,126
Luvit Dark Compound Chocolate,325,81,75.08,No,500 g,4.8,500,5 mins,chocolate,244
Hershey's Dark Chocolate Bar,170,48,71.76,No,90 g,4.7,753,5 mins,chocolate,122
Hershey's Kisses Moments Chocolate Gift pack,525,214,59.24,No,150 g,4.7,264,5 mins,chocolate,311
Cadbury 5 Star Chocolate Bar Combo,40,6,85,No,50 g,4.2,812,5 mins,chocolate,34
Cadbury Gems Chocolate Duo Pack Combo,40,8,80,No,50 g,4.6,297,5 mins,chocolate,32
Cadbury 5 Star Chocolate Bar Combo,60,9,85,No,50 g,4.5,992,5 mins,chocolate,51
Cadbury 5 Star Chocolate Bar Kitted Combo,106,20,81.13,No,50 g,4.5,90,5 mins,chocolate,86
Cadbury Dairy Milk Fruit,98,12,87.76,No,75 g,4.6,388,5 mins,chocolate,86
Cadbury Gems Chocolate Duo Pack,20,4,80,No,15 g,4.7,97,5 mins,chocolate,16
Cadbury Dairy Milk Chocolate Bar Combo,106,18,83.02,No,44 g,4.7,252,5 mins,chocolate,88
Cadbury Dairy Milk Roast Almond Chocolate Bar Combo,106,14,86.79,No,35 g,4.6,126,5 mins,chocolate,92
Cadbury Dairy Milk Roast Almond Chocolate Bar Combo,98,12,87.76,No,67 g,4.4,452,5 mins,chocolate,86
Cadbury Dairy Milk Crispello Chocolate Bar Combo,80,16,80,No,45 g,4.5,257,5 mins,chocolate,64
