Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Arun Vanilla And Blackcurrant Ice Cream Cup,70,20,71.43,No,250 ml,4.2,125,5 mins,ice cream,50
Kwality Wall's Magnum Chocolate Almond Ice Cream Stick Combo,270,45,83.33,No,250 ml,4.2,473,5 mins,ice cream,225
Kwality Wall's Cornetto Double Chocolate Cone,40,8,80,No,105 ml,4.4,323,5 mins,ice cream,32
Amul Gold TriCone Butterscotch Ice Cream Cone,35,5,85.71,No,120 ml,4.4,305,5 mins,ice cream,30
Milkymist Chocolate Cone,40,10,75,No,120 ml,4.4,120,5 mins,ice cream,30
Kwality Wall's Magnum Chocolate Truffle Ice Cream Stick Combo,160,34,78.75,No,250 ml,4.2,163,5 mins,ice cream,126
Hangyo Berry,60,11,81.67,No,50 ml,,355,5 mins,ice cream,49
Milkymist Badam Pista Cone,40,10,75,No,120 ml,4.5,120,5 mins,ice cream,30
Kwality Wall's Magnum Chocolate Truffle Ice Cream Stick Combo,320,68,78.75,No,250 ml,4.7,542,5 mins,ice cream,252
Dairy Day New Triple Bar Ice Cream Stick,40,4,90,No,70 ml,4.4,89,5 mins,ice cream,36
Kwality Walls Cornetto Strawberry Vanilla Cone,40,7,82.5,No,105 ml,4.1,105,5 mins,ice cream,33
Kwality Wall's Magnum Chocolate Almond Ice Cream Stick Combo,360,108,70,No,250 ml,4.5,273,5 mins,ice cream,252
Kwality Wall's Magnum Brownie Ice Cream Stick Combo,160,40,75,No,250 ml,4.5,329,5 mins,ice cream,120
Dairy Day Blackcurrant Ice Cream Cone,40,4,90,No,120 ml,4.4,120,5 mins,ice cream,36
Kwality Wall's Cornetto Butterscotch Cone,45,10,77.78,No,110 ml,4.1,110,5 mins,ice cream,35
Kwality Wall's Magnum Chocolate Almond Ice Cream Stick Combo,180,28,84.44,No,250 ml,4.6,852,5 mins,ice cream,152
Kwality Wall's Magnum Chocolate Truffle Ice Cream Stick Combo,240,51,78.75,No,250 ml,4.4,581,5 mins,ice cream,189
Milkymist Almond Choco Bar,40,10,75,No,60 ml,,60,5 mins,ice cream,30
Kwality Wall's Choco Brownie Fudge Cup,50,10,80,No,250 ml,4.2,100,5 mins,ice cream,40
Dairy Day Vanilla Ice Cream Tub,135,34,74.81,No,250 ml,4.4,500,5 mins,ice cream,101
Go Zero Kesar Kulfi Low Calorie Guilt Free Ice Cream Stick,125,37,70.4,No,70 ml,3.4,362,5 mins,ice cream,88
Amul Chocolate Brownie Ice Cream Tub,210,14,93.33,No,250 ml,4.4,210,5 mins,ice cream,196
Arun Double Chocolate Icone Ice Cream Cone,50,4,92,No,100 ml,4.4,100,5 mins,ice cream,46
