Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling Price
My First Activity Book Word Search,129,1,96.55,No,1 pcs,4.5,67,22 mins,books,128
2000+ Reward Stickers Book,220,94,57.27,No,2 pcs,4.9,78,22 mins,books,126
My First Book Of Writing Numbers ,60,11,81.67,No,1 pcs,4.5,945,22 mins,books,49
The Adventures of Sherlock Holmes,499,216,56.71,No,2 pcs,4.4,170,22 mins,books,283
Science Books For Kids,180,61,66.11,No,1 pcs,,71,22 mins,books,119
My First Big Picture Board Book Abc,120,21,82.5,No,2 pcs,4.7,68,22 mins,books,99
Kids Encyclopedia,155,60,61.29,No,2 pcs,4.8,82,22 mins,books,95
Shlokas and Mantras and Hanuman Chalisa for Kids Age 2+,110,39,64.55,No,2 pcs,4.6,88,22 mins,books,71
My First Sticker Book,135,60,55.56,No,1 pcs,2.9,82,22 mins,books,75
My First 1000 Words Book L 50 Topics With Engaging Picture Book For Early Learners,299,127,57.53,No,2 pcs,4.6,75,22 mins,books,172
My First Sticker Book,135,32,76.3,No,1 pcs,4.5,88,22 mins,books,103
Charlotte'S Web,399,140,64.91,No,3 pcs,4.3,622,22 mins,books,259
My World,350,136,61.14,No,2 pcs,3.6,73,22 mins,books,214
My Cute Board Book Abc,70,11,84.29,No,1 pcs,4.3,71,22 mins,books,59
My First Sticker Book,125,45,64,No,1 pcs,3.1,70,22 mins,books,80
Under the Ocean,200,67,66.5,No,2 pcs,,52,22 mins,books,133
My First Sticker Book,125,45,64,No,1 pcs,,82,22 mins,books,80
My First Big Picture Board Book Numbers 1,120,51,57.5,No,1 pcs,4.6,126,22 mins,books,69
Life Lessons,210,83,60.48,No,2 pcs,3.9,67,22 mins,books,127
My First Sticker Book,135,45,66.67,No,1 pcs,,77,22 mins,books,90
Moral Stories for Kids,125,42,66.4,No,2 pcs,,98,22 mins,books,83
Story Books for Kids,210,90,57.14,No,2 pcs,4.7,117,22 mins,books,120
Story Books for Kids,210,72,65.71,No,2 pcs,,90,22 mins,books,138
Cursive Writing Book,110,38,65.45,No,2 pcs,4.9,112,22 mins,books,72
My First Learning Library,395,160,59.49,No,3 pcs,4.9,86,22 mins,books,235
Story Books for Kids,350,151,56.86,No,3 pcs,,80,22 mins,books,199
My First Board Book Animals,155,56,63.87,No,1 pcs,4.6,151,22 mins,books,99
Reading Comprehension Activity Book for Kids,125,42,66.4,No,1 pcs,4.9,86,22 mins,books,83
My First Shapes and Colours Sticker Book,200,100,50,No,1 pcs,4.6,724,22 mins,books,100
Lost Bookshop,599,240,59.93,No,4 pcs,4.6,118,22 mins,books,359
My Cute Board Book Numbers,70,31,55.71,No,1 pcs,4.3,291,22 mins,books,39
108 Akbar Birbal Stories,180,62,65.56,No,2 pcs,4.6,107,22 mins,books,118
My First Mythology Tale,275,110,60,No,2 pcs,,80,22 mins,books,165
My First Classic For Children,999,405,59.46,No,4 pcs,4.3,816,22 mins,books,594
Story Book for Kids,275,92,66.55,No,2 pcs,4.2,409,22 mins,books,183
Brain Activity Book for Kids,155,35,77.42,No,1 pcs,3.9,153,22 mins,books,120
Story Books for Kids,420,182,56.67,No,2 pcs,,60,22 mins,books,238
Activity Book for Kids,250,104,58.4,No,2 pcs,,68,22 mins,books,146
