Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Britannia Milk Slice White Bread,65,9,86.15,Yes,350 g,4.6,350,9 mins,Bread,56
The Health Factory Zero Maida Protein Bread,85,14,83.53,Yes,250 g,4.2,250,9 mins,Bread,71
Britannia Milk Slice White Bread,30,4,86.67,No,200 g,4.5,200,9 mins,Bread,26
Britannia Milk Slice White Bread,55,10,81.82,Yes,400 g,4.6,400,9 mins,Bread,45
Britannia Milk Slice White Bread,55,3,94.55,No,400 g,4.5,400,9 mins,Bread,52
Modern Sandwich Supreme White Bread,55,10,81.82,No,400 g,4.5,400,9 mins,Bread,45
Spencer's Premium Milk Bread,55,3,94.55,No,400 g,4.6,400,9 mins,Bread,52
The Health Factory Zero Maida Bombay Pav,40,3,92.5,Yes,401 g,4.3,40,9 mins,Bread,37
Modern Bread Milk Plus,55,3,94.55,No,400 g,4.6,400,9 mins,Bread,52
Modern Bread Milk Plus,55,3,94.55,No,400 g,4.5,400,9 mins,Bread,52
Protein Chef 5 Super Foods Multigrain Brown Bread,69,3,95.65,Yes,270 g,4.3,270,9 mins,Bread,66
Modern Family Special White Bread,50,2,96,No,400 g,4.6,400,9 mins,Bread,48
Britannia Breakfast Slice White Bread,55,6,89.09,No,450 g,4.6,450,9 mins,Bread,49
Britannia Breakfast Slice White Bread,55,4,92.73,Yes,250 g,4.4,250,9 mins,Bread,51
Modern Multigrain Bread,60,9,85,Yes,400 g,4.5,400,9 mins,Bread,51
Spencer's Premium Sandwich Bread,55,3,94.55,No,400 g,4.6,400,9 mins,Bread,52
Protein Chef High Protein Brown Bread,59,3,94.92,Yes,270 g,4.3,270,9 mins,Bread,56
Spencer's Brown Bread,55,3,94.55,No,400 g,4.6,400,9 mins,Bread,52
Spencer's Brown Bread,59,3,94.92,Yes,250 g,4.3,250,9 mins,Bread,56
The Health Factory Zero Maida Multigrain Bread,70,12,82.86,Yes,250 g,4.4,250,9 mins,Bread,58
Britannia Vita Rich Sandwich Premium White Bread,50,2,96,No,400 g,4.6,400,9 mins,Bread,48
Modern Sandwich Supreme White Bread,90,4,95.56,No,800 g,4.5,800,9 mins,Bread,86
Britannia Fruit Bread,55,9,83.64,No,400 g,4.4,400,9 mins,Bread,46
Daily Good Milk Bread,60,17,71.67,No,400 g,4.4,312,9 mins,Bread,43
Daily Good Milk Bread,55,13,76.36,No,400 g,4.3,319,9 mins,Bread,42
Daily Good White Bread,55,15,72.73,No,400 g,4.5,176,9 mins,Bread,40
Daily Good Brown Bread,60,18,70,No,400 g,4.4,148,9 mins,Bread,42
Britannia Milk Slice White Bread Combo,110,6,94.55,No,400 g,4.2,831,9 mins,Bread,104
Britannia Milk Slice White Bread Combo,110,20,81.82,No,400 g,4.4,635,9 mins,Bread,90
Britannia Fruit Bread,30,2,93.33,No,200 g,4.3,200,9 mins,Bread,28
Modern Cremtreat Vanilla Cream Bun,110,10,,No,50 g,4.5,68,9 mins,Bread,100
Modern Cremtreat Vanilla Cream Bun Combo,30,3,90,No,50 g,4.7,318,9 mins,Bread,27
Modern Cremtreat Vanilla Cream Bun Combo,130,18,86.15,No,50 g,4.7,158,9 mins,Bread,112
Modern Cremtreat Vanilla Cream Bun Combo,30,5,83.33,No,200 g,4.4,200,9 mins,Bread,25
Modern Cremtreat Chocolate Cream Bun,110,10,,No,150 g,4.5,50,9 mins,Bread,100
Modern Bread Milk Plus Combo,110,6,94.55,No,100 g,4.4,547,9 mins,Bread,104
Modern Cremtreat Chocolate Cream Bun Combo,30,3,90,No,100 g,4.7,951,9 mins,Bread,27
Modern Cremtreat Chocolate Cream Bun Combo,110,6,94.55,No,100 g,4.4,659,9 mins,Bread,104
Nanda's Vanilla Cream Bun Combo,45,3,93.33,No,100 g,4.5,432,9 mins,Bread,42
Spencer's Premium Milk Bread Combo,110,6,94.55,No,100 g,4.6,341,9 mins,Bread,104
Nanda's Vanilla Cream Bun,45,1,92.86,No,60 g,4.7,60,9 mins,Bread,44
Modern Family Special White Bread Combo,100,6,94,No,100 g,4.6,736,9 mins,Bread,94
Modern Sandwich Supreme White Bread Combo,165,30,81.82,No,100 g,4.5,196,9 mins,Bread,135
Britannia Breakfast Slice White Bread Combo,110,12,89.09,No,100 g,4.6,889,9 mins,Bread,98
Britannia Pav Combo,60,10,83.33,No,50 g,4.5,251,9 mins,Bread,50
Britannia Pav Combo,110,10,90.91,No,100 g,4.3,680,9 mins,Bread,100
