Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
D'lecta Cheese Slices,350,124,64.57,No,400 g,4.7,400,9 mins,cheese,226
D'lecta Cheese Slices,109,22,79.82,Yes,140 g,4.7,140,9 mins,cheese,87
Amul Diced Cheese Blend,129,15,88.37,No,200 g,4.7,200,9 mins,cheese,114
Heritage Cheese Slices,75,27,64,No,100 g,4.7,100,9 mins,cheese,48
Amul Processed Cheese Block,134,21,84.33,No,200 g,4.8,200,9 mins,cheese,113
Amul Cheese Slices,149,30,79.87,No,200 g,4.8,200,9 mins,cheese,119
D'lecta Cheese Slices,160,53,66.88,No,200 g,4.7,200,9 mins,cheese,107
D'lecta Cheese Slices,155,46,70.32,No,200 g,4.6,200,9 mins,cheese,109
Amul Processed Cheese Cubes,139,27,80.58,No,200 g,4.8,200,9 mins,cheese,112
Go Cheese Slices,99,38,61.62,No,100 g,4.7,100,9 mins,cheese,61
Go Processed Cheese Block,185,91,50.81,No,200 g,4.7,200,9 mins,cheese,94
Heritage Cheese Slices,135,49,63.7,No,200 g,4.7,200,9 mins,cheese,86
Milky Mist Shredded Mozzarella Pizza Cheese,140,28,80,No,200 g,4.8,200,9 mins,cheese,112
Amul Diced Cheese Blend,540,78,85.56,No,1 kg,4.7,540,9 mins,cheese,462
D'lecta Cheese Blocks,170,62,63.53,No,200 g,4.7,200,9 mins,cheese,108
Britannia Cheese Slice,80,18,77.5,No,90 g,4.7,90,9 mins,cheese,62
Britannia Cheese Cubes,135,29,78.52,No,200 g,4.6,200,9 mins,cheese,106
Go Cheese Processed,155,46,70.32,No,200 g,4.8,200,9 mins,cheese,109
Britannia Spreadable Cheese Triangles,135,36,73.33,Yes,120 g,4.4,135,9 mins,cheese,99
Milky Mist Cheese,142,34,76.06,No,200 g,4.5,200,9 mins,cheese,108
Britannia Cheese Slice,140,30,78.57,No,180 g,4.6,180,9 mins,cheese,110
Milky Mist Processed Cheese,132,14,89.39,No,200 g,4.6,200,9 mins,cheese,118
D'lecta Cheese Cubes,165,58,64.85,No,200 g,4.9,200,9 mins,cheese,107
Britannia Cheese Block,130,35,73.08,No,200 g,4.3,599,9 mins,cheese,95
Britannia Cheese Block,220,40,81.82,Yes,200 g,4.4,220,9 mins,cheese,180
Amul Pizza Cheese Mozzarella Diced,560,101,81.96,No,1 kg,4.9,540,9 mins,cheese,459
Amul Pizza Cheese Mozzarella Diced,220,39,82.27,Yes,200 g,4.7,581,9 mins,cheese,181
Milky Mist Mozzarella Pizza Cheese,170,45,73.53,Yes,200 g,4.2,678,9 mins,cheese,125
Amul Diced Cheddar,550,31,94.36,No,1 kg,4.2,646,9 mins,cheese,519
Milky Mist Shredded Mozzarella Pizza Cheese,340,89,73.82,No,500 g,4.8,500,9 mins,cheese,251
D'lecta Parmesan Extra Hard Cheese Blocks,350,17,95.14,Yes,100 g,3.9,461,9 mins,cheese,333
D'lecta Cream Cheese,360,40,88.89,Yes,400 g,4.6,448,9 mins,cheese,320
Britannia Cheese Slice,650,237,63.54,No,663 g,4.6,663,9 mins,cheese,413
Britannia Cheese Slice,310,92,70.32,No,100 g,4.7,888,9 mins,cheese,218
D'lecta Cheese Spread,99,29,70.71,No,150 g,4.6,150,9 mins,cheese,70
Amul Cheese Spread Yummy Plain,114,15,86.84,No,200 g,4.6,200,9 mins,cheese,99
Go Cheese Spread Plain,115,30,73.91,No,100 g,4.4,200,9 mins,cheese,85
Go Processed Cheese Block Combo,370,180,51.35,No,100 g,4.2,193,9 mins,cheese,190
Amul Diced Cheese Blend Combo,258,30,88.37,No,150 g,4.3,828,9 mins,cheese,228
Britannia Cheese Spread Classic,110,32,70.91,No,180 g,4.9,180,9 mins,cheese,78
Britannia Cheese Cubes Combo,270,58,78.52,No,200 g,4.3,639,9 mins,cheese,212
Amul Processed Cheese Block Combo,268,42,84.33,No,200 g,4.5,842,9 mins,cheese,226
Amul Cheese Slices Combo,298,60,79.87,No,200 g,4.6,331,9 mins,cheese,238
Amul Cheese Slices Combo,218,44,79.82,No,200 g,4.3,277,9 mins,cheese,174
Milky Mist Shredded Mozzarella Pizza Cheese Combo,280,56,80,No,200 g,4.3,634,9 mins,cheese,224
Milky Mist Mozzarella Pizza Cheese Combo,340,94,72.35,No,200 g,4.5,493,9 mins,cheese,246
Amul Processed Cheese Cubes Combo,278,54,80.58,No,200 g,4.4,485,9 mins,cheese,224
Milky Mist Processed Cheese,264,42,84.09,No,200 g,4.2,331,9 mins,cheese,222
D'lecta Cream Cheese,200,28,86,Yes,150 g,4.4,200,9 mins,cheese,172
Milky Mist Cheese,284,68,76.06,No,150 g,4.4,520,9 mins,cheese,216
D'lecta Cheese Slices Combo,320,106,66.88,No,150 g,4.6,749,9 mins,cheese,214
Amul Processed Cheese Cubes,197,30,84.77,No,150 g,4.6,476,9 mins,cheese,167
Britannia Cheese Slice Combo,280,60,78.57,No,150 g,4.7,543,9 mins,cheese,220
D'lecta Cheese Cubes Combo,330,116,64.85,No,150 g,4.4,379,9 mins,cheese,214
D'lecta Cheese Cubes Combo,440,78,82.27,No,150 g,4.4,908,9 mins,cheese,362
D'lecta Cheese Cubes Combo,440,80,81.82,No,150 g,4.2,538,9 mins,cheese,360
Go Cheese Slices Combo,198,76,61.62,No,150 g,4.5,328,9 mins,cheese,122
D'lecta Parmesan Extra Hard Cheese Blocks Combo,700,44,93.71,No,150 g,4.5,423,9 mins,cheese,656
