Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Lay's American Cream,20,4,80,No,48 g,4.7,842,12 mins,chips,16
Bingo! Original Style Chilli Sprinkled,20,4,80,No,48 g,4.7,362,12 mins,chips,16
"Cheetos Classic Puffs, Cheese Flavoured Corn Chips, Party Snacks",134,38,71.64,No,135 g,4.8,186,12 mins,chips,96
Crax Crunchy Pipes Masala Puff Snacks,60,28,53.33,No,65 g,4.5,65,12 mins,chips,32
Lay's West Indies Hot 'n' Sweet Chilli Potato Chips,20,4,80,No,48 g,4.7,321,12 mins,chips,16
Lay's India's Magic Masala Potato Chips,20,4,80,No,48 g,4.7,700,12 mins,chips,16
Heka Bites Roasted Jowar Puffs Majestic Masala,48,11,77.08,No,40 g,4.5,48,12 mins,chips,37
Cheetos Cheese Puffs,9,1,88.89,No,28 g,4.5,44,12 mins,chips,8
Britannia Little Hearts Classic Crunch Flavoured Biscuits,75,21,72,No,52 g,4.2,491,12 mins,chips,54
Kurkure Yummy PuffCorn Yummy Cheese Chips,20,4,80,No,52 g,4.8,351,12 mins,chips,16
Lay's Potato Chips,20,3,85,No,48 g,4.7,182,12 mins,chips,17
Ritebite Max Protein Cream,42,4,90.48,No,60 g,4.6,60,12 mins,chips,38
Ritebite Max Protein Cream,84,10,88.1,No,10 g,4.3,292,12 mins,chips,74
Lay's Spanish Tomato Tango Potato Chips,20,3,85,No,48 g,4.7,161,12 mins,chips,17
Bingo! Mad Angles Achaari Masti Crisps,20,3,85,No,60 g,4.7,426,12 mins,chips,17
Heka Bites Roasted Jowar Puffs Cheesy Salsa,48,10,79.17,No,40 g,4.6,48,12 mins,chips,38
TTP Gourmet Popcorn,225,58,74.22,No,42 g,4.3,84,12 mins,chips,167
Haldiram's Halke Fulke,29,1,96.55,No,100 g,4.6,100,12 mins,chips,28
Cheetos Masala Balls,9,1,88.89,No,28 g,4.4,30,12 mins,chips,8
4700BC Cheese Popcorn,50,8,84,No,50 g,4.5,4700,12 mins,chips,42
4700BC Popcorn Himalayan Salt Caramel Pouch,49,14,71.43,No,60 g,4.5,4700,12 mins,chips,35
Lay's Potato Chips,20,3,85,No,48 g,4.7,129,12 mins,chips,17
Lay's Classic Salted Potato Chips,19,1,94.74,No,48 g,4.7,186,12 mins,chips,18
4700BC Butter Popcorn Jumbo Pack,50,17,66,No,55 g,4.7,4700,12 mins,chips,33
Let's Try Potato Wafers,60,23,61.67,No,54 g,4.3,60,12 mins,chips,37
Kurkure Red Chilli Chataka Chips,20,3,85,No,68 g,4.7,207,12 mins,chips,17
Yellow Diamond Cream 'N' Onion Chips,50,22,56,No,80 g,4.7,80,12 mins,chips,28
4700BC x Netflix,26,2,92.31,No,30 g,4.8,4700,12 mins,chips,24
4700BC Cheese Popcorn Jumbo Pack,27,1,96.3,No,25 g,3.9,347,12 mins,chips,26
Yellow Diamond Spicy Korean Chips,50,22,56,No,80 g,4.5,80,12 mins,chips,28
Modern Kitchens Hot Chips Spicy,70,26,62.86,No,100 g,4.1,100,12 mins,chips,44
Uncle Chips Plain Salted,50,14,72,No,80 g,4.7,80,12 mins,chips,36
Modern Kitchens Wheel Chips,60,30,50,No,60 g,4.4,60,12 mins,chips,30
Lay's American Cream,48,14,70.83,No,80 g,4.7,838,12 mins,chips,34
"Cheetos Masala Balls, Crispy Chips",50,19,62,No,84 g,4.7,84,12 mins,chips,31
Bingo! Original Style Potato Chips,50,15,70,No,85 g,4.7,85,12 mins,chips,35
Beyond Snack Kerala Banana chips,20,3,85,No,25 g,4.4,25,12 mins,chips,17
Too Yumm! Bhoot Potato Chips Spicy Chilli Flavour Chips,60,17,71.67,No,79 g,4.7,79,12 mins,chips,43
Pringles Potato Chips,60,16,73.33,No,40 g,4.5,60,12 mins,chips,44
Lay's Spanish Tomato Tango Potato Chips,30,6,80,No,67 g,4.7,161,12 mins,chips,24
Pringles Potato Chips,60,15,75,No,40 g,4.6,60,12 mins,chips,45
Bingo! Original Style Salt Sprinkled,50,17,66,No,50 g,4.8,85,12 mins,chips,33
Beyond Snack Kerala Banana Chips,20,3,85,No,25 g,4.5,25,12 mins,chips,17
Too Yumm! Dahi Papdi Chaat Multigrain Healthy Chips High Protein Crunchy Crisps,40,14,65,No,70 g,4.7,70,12 mins,chips,26
Crax Korean Ramen Noodle Puff Chips,60,28,53.33,No,70 g,4.6,70,12 mins,chips,32
Lay's Spanish Tomato Tango Potato Chips,50,16,68,No,80 g,4.7,161,12 mins,chips,34
Bingo! Potato Chips,20,4,80,No,25 g,4.6,45,12 mins,chips,16
Lay's Classic Salted Potato Chips,30,3,90,No,67 g,4.7,185,12 mins,chips,27
Balaji Simply Salted Chips,40,2,95,No,135 g,4.8,135,12 mins,chips,38
Kellogg's Pringles Potato Chips Desi Masala Tadka Flavour,60,12,80,No,40 g,4.5,652,12 mins,chips,48
Lay's Potato Chips Wafer style,20,4,80,No,48 g,4.7,48,12 mins,chips,16
Modern Kitchens Hot Chips Salted,70,26,62.86,No,100 g,4.1,100,12 mins,chips,44
Too Yumm! Kashmiri Chilli Spicy Potato Chips,50,15,70,No,79 g,4.6,79,12 mins,chips,35
Lay's India's Magic Masala Potato Chips,85,27,68.24,No,143 g,4.7,697,12 mins,chips,58
Bingo! Original Style Chilli Charged Tomato Chips,30,9,70,No,55 g,4.7,55,12 mins,chips,21
Crax Masala Punch Potato Chips Snacks,50,17,66,No,85 g,4.7,85,12 mins,chips,33
Lay's American Cream,85,31,63.53,No,143 g,4.7,838,12 mins,chips,54
Pringles Potato Chips Pizza Flavour,125,34,72.8,No,102 g,4.6,125,12 mins,chips,91
Lay's Classic Salted Potato Chips,50,10,80,No,82 g,4.7,185,12 mins,chips,40
Modern Kitchens Banana Chips Salted,60,20,66.67,No,70 g,4.6,70,12 mins,chips,40
Superyou Multigrain Masala Chips,40,4,90,No,40 g,4.7,762,12 mins,chips,36
Pringles Potato Chips Peri Peri Flavour,125,38,69.6,No,102 g,4.4,125,12 mins,chips,87
Pringles Potato Chips Original Flavour,125,38,69.6,No,107 g,4.5,125,12 mins,chips,87
Pringles Chips,125,33,73.6,No,102 g,4.5,125,12 mins,chips,92
Beyond Snack Kerala Banana Chips,60,16,73.33,No,70 g,4.5,70,12 mins,chips,44
Wickedgud Chickpea Popped Chips,35,11,68.57,No,20 g,4.4,426,22 mins,chips,24
The Healthy Binge Millet Baked Chips,40,7,82.5,No,40 g,4.4,40,12 mins,chips,33
Superyou Multigrain Sour Cream,40,4,90,No,40 g,4.7,767,12 mins,chips,36
Snackible Peri Peri Ragi Chips,50,8,84,No,55 g,4.7,55,12 mins,chips,42
Khari Foods Peri Peri Beetroot Crispies Chips,55,11,80,No,50 g,4.8,55,12 mins,chips,44
Superyou Multigrain Cheese,50,14,72,No,40 g,4.6,719,12 mins,chips,36
Beyond Snack Kerala Banana Chips,60,6,90,No,70 g,4.6,70,12 mins,chips,54
Beyond Snack Kerala Banana Chips,75,24,68,No,75 g,4.4,183,12 mins,chips,51
Beyond Snack Kerala Banana Chips,75,24,68,No,75 g,4.4,189,12 mins,chips,51
4700BC Chips+ Hawaiian Barbeque Popped Corn,50,14,72,No,55 g,4.5,4700,12 mins,chips,36
Pringles Potato Chips Desi Masala Tadka Flavour,190,54,71.58,No,134 g,4.4,88,12 mins,chips,136
Modern Kitchens Banana Chips Salted,120,38,68.33,No,160 g,4.7,160,12 mins,chips,82
Healthy Master Baked Chips Combo 210G,399,56,85.96,No,210 g,4.4,217,22 mins,chips,343
Bingo! Original Style Chilli Sprinkled,60,12,80,No,45 g,4.3,183,12 mins,chips,48
Bingo! Original Style Chilli Sprinkled,80,20,75,No,46 g,4.6,926,12 mins,chips,60
Kurkure Yummy PuffCorn Yummy Cheese Chips Combo,60,12,80,No,46 g,4.7,681,12 mins,chips,48
Lay's American Cream,80,16,80,No,46 g,4.7,774,12 mins,chips,64
Haldiram's Halke Fulke,60,4,93.33,No,46 g,4.3,710,12 mins,chips,56
Bingo! Original Style Chilli Sprinkled,100,38,62,No,46 g,4.4,585,12 mins,chips,62
Lay's Potato Chips,60,9,85,No,46 g,4.4,456,12 mins,chips,51
Lay's West Indies Hot 'n' Sweet Chilli Potato Chips Combo,80,16,80,No,46 g,4.5,714,12 mins,chips,64
Uncle Chips Spicy Treat Combo,100,32,68,No,46 g,4.2,425,12 mins,chips,68
Lay's India's Magic Masala Potato Chips Combo,80,16,80,No,46 g,4.3,522,12 mins,chips,64
Lay's American Cream,60,12,80,No,46 g,4.6,642,12 mins,chips,48
Lay's India's Magic Masala Potato Chips Combo,40,8,80,No,46 g,4.3,997,12 mins,chips,32
Kurkure Red Chilli Chataka Chips Combo,60,9,85,No,46 g,4.5,688,12 mins,chips,51
Lay's Spanish Tomato Tango Potato Chips Combo,80,12,85,No,46 g,4.3,909,12 mins,chips,68
Lay's Potato Chips,80,12,85,No,50 g,4.6,94,12 mins,chips,68
Lay's India's Magic Masala Potato Chips Combo,96,28,70.83,No,50 g,4.4,322,12 mins,chips,68
Beyond Snack Kerala Banana Chips,40,6,85,No,50 g,4.3,940,12 mins,chips,34
Bingo Hashtags Potato Chips,60,22,63.33,No,50 g,4.6,188,12 mins,chips,38
Bingo Hashtags Potato Chips,90,39,56.67,No,50 g,4.4,256,12 mins,chips,51
Bingo Hashtags Potato Chips,60,20,66.67,No,50 g,4.3,250,12 mins,chips,40
Lay's Classic Salted Potato Chips Combo,80,8,90,No,50 g,4.2,417,12 mins,chips,72
Bingo! Original Style Potato Chips,100,32,68,No,50 g,4.5,242,12 mins,chips,68
Uncle Chips Plain Salted Combo,100,28,72,No,50 g,4.4,92,12 mins,chips,72
Lay's India's Magic Masala Potato Chips Combo,90,15,83.33,No,50 g,4.6,842,12 mins,chips,75
Lay's American Cream,96,28,70.83,No,50 g,4.6,526,12 mins,chips,68
Lay's American Cream,90,15,83.33,No,56 g,4.4,222,12 mins,chips,75
Lay's Spanish Tomato Tango Potato Chips Combo,100,32,68,No,56 g,4.7,809,12 mins,chips,68
Yellow Diamond Cream 'N' Onion Chips Combo,100,44,56,No,56 g,4.6,715,12 mins,chips,56
Lay's Classic Salted Potato Chips Combo,60,6,90,No,56 g,4.4,774,12 mins,chips,54
Lay's Classic Salted Potato Chips Combo,60,3,95,No,56 g,4.2,772,12 mins,chips,57
Lay's Wafer Chips Red Chilli Combo,40,8,80,No,56 g,4.5,966,12 mins,chips,32
Lay's Wafer Chips Red Chilli Combo,80,16,80,No,56 g,4.5,943,12 mins,chips,64
Kurkure Yummy PuffCorn Yummy Cheese Chips Combo,120,24,80,No,75 g,4.4,925,12 mins,chips,96
Lay's India's Magic Masala Potato Chips Combo,60,12,80,No,75 g,4.6,563,12 mins,chips,48
Lay's Potato Chips,120,18,85,No,75 g,4.6,820,12 mins,chips,102
Bingo! Original Style Chilli Sprinkled,300,114,62,No,100 g,4.2,408,12 mins,chips,186
Modern Kitchens Hot Chips Spicy Combo,140,52,62.86,No,75 g,4.2,928,12 mins,chips,88
Kurkure Red Chilli Chataka Chips Combo,120,18,85,No,75 g,4.4,516,12 mins,chips,102
Bingo! Potato Chips,40,10,75,No,50 g,4.7,385,12 mins,chips,30
Lay's Wafer Chips Red Chilli Combo,60,12,80,No,50 g,4.2,818,12 mins,chips,48
Bingo! Original Style Chilli Sprinkled,150,63,58,No,50 g,4.4,680,12 mins,chips,87
Beyond Snack Kerala Banana Chips,40,6,85,No,50 g,4.4,997,12 mins,chips,34
Bingo! Original Style Chilli Charged Tomato Chips Combo,60,20,66.67,No,50 g,4.4,563,12 mins,chips,40
Lay's Classic Salted Potato Chips Combo,100,24,76,No,50 g,4.5,576,12 mins,chips,76
Modern Kitchens Wheel Chips Combo,120,60,50,No,50 g,4.6,175,12 mins,chips,60
Bingo! Original Style Salt Sprinkled,100,34,66,No,50 g,4.4,571,12 mins,chips,66
Bingo! Original Style Salt Sprinkled,150,51,66,No,50 g,4.3,188,12 mins,chips,99
Lay's American Cream,120,20,83.33,No,50 g,4.3,210,12 mins,chips,100
Bingo! Original Style Potato Chips,200,64,68,No,50 g,4.5,126,12 mins,chips,136
Lay's American Cream,40,8,80,No,75 g,4.5,679,12 mins,chips,32
Modern Kitchens Banana Chips Salted Combo,120,40,66.67,No,75 g,4.7,424,12 mins,chips,80
Lay's India's Magic Masala Potato Chips Combo,170,54,68.24,No,75 g,4.5,153,12 mins,chips,116
Bingo! Original Style Potato Chips,150,60,60,No,75 g,4.6,421,12 mins,chips,90
Kurkure Red Chilli Chataka Chips Combo,40,6,85,No,75 g,4.2,252,12 mins,chips,34
Uncle Chips Spicy Treat Combo,200,64,68,No,75 g,4.6,745,12 mins,chips,136
Lay's West Indies Hot 'n' Sweet Chilli Potato Chips Combo,40,8,80,No,75 g,4.6,107,12 mins,chips,32
Pringles Potato Chips,120,32,73.33,No,75 g,4.7,680,12 mins,chips,88
Bingo! Original Style Chilli Sprinkled,40,8,80,No,75 g,4.6,411,12 mins,chips,32
Lay's India's Magic Masala Potato Chips Combo,255,90,64.71,No,75 g,4.6,933,12 mins,chips,165
Modern Kitchens Hot Chips Salted Combo,140,52,62.86,No,75 g,4.7,380,12 mins,chips,88
Kurkure Yummy PuffCorn Yummy Cheese Chips Combo,40,8,80,No,75 g,4.6,560,12 mins,chips,32
Lay's India's Magic Masala Potato Chips Combo,192,56,70.83,No,75 g,4.3,127,12 mins,chips,136
Lay's India's Magic Masala Potato Chips Combo,180,30,83.33,No,75 g,4.3,274,12 mins,chips,150
Lay's American Cream,192,56,70.83,No,75 g,4.3,803,12 mins,chips,136
