Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Britannia Good Day Chunkies Chocochip Cookies,45,13,71.11,No,75 g,4.7,75,5 mins,cookies,32
Parle Hide,30,9,70,No,100 g,4.7,314,5 mins,cookies,21
Britannia Pure Magic Choco Frames,55,9,83.64,No,50 g,4.6,411,5 mins,cookies,46
Britannia Pure Magic Choco Frames,70,7,90,No,100 g,4.5,100,5 mins,cookies,63
Parle Hide,35,7,80,No,60 g,4.7,60,5 mins,cookies,28
UNIBIC Choco Chip Cookies,27,8,70.37,No,5 g,4.7,67,5 mins,cookies,19
Nutrisum Oats Cookies,85,40,52.94,No,70 g,4.5,968,5 mins,cookies,45
Britannia Little Hearts Classic Crunch Biscuits,25,7,72,No,70 g,4.7,164,5 mins,cookies,18
UNIBIC Assorted Cookies,340,152,55.29,No,5 g,4.7,340,5 mins,cookies,188
Parle Hide,53,13,75.47,No,200 g,4.7,200,5 mins,cookies,40
"Sunfeast Dark Fantasy Choco Fills, Original Filled Cookies with Choco Crème",35,3,91.43,No,69 g,4.7,237,5 mins,cookies,32
Let'S Try Ragi Kaju Pista Cookies,220,95,56.82,No,200 g,4.2,220,5 mins,cookies,125
Let's try Ragi Kaju Pista Millet Cookies,440,206,53.18,No,200 g,4.3,393,5 mins,cookies,234
UNIBIC Choco Nut Cookies,27,2,92.59,No,5 g,4.6,67,5 mins,cookies,25
Cadbury Chocobakes ChocoChip Cookies,40,10,75,No,83 g,4.6,83,5 mins,cookies,30
Cadbury Chocobakes ChocoChip Cookies,60,23,61.67,No,5 g,4.6,67,5 mins,cookies,37
"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies",53,5,90.57,No,60 g,4.5,60,5 mins,cookies,48
Britannia Good Day Chunkies Coconut Cookies,45,12,73.33,No,100 g,4.7,100,5 mins,cookies,33
Parle Hide,30,9,70,No,100 g,4.6,100,5 mins,cookies,21
"Ritebite Max Protein Cookie Choco Chips, No Maida Multigrain Premium Biscuit Cookies",44,5,88.64,No,55 g,4.7,55,5 mins,cookies,39
Britannia NutriChoice Chocolate and Almond Oats Biscuits,25,9,64,No,75 g,4.6,75,21 mins,cookies,16
Cadbury Chocobakes ChocoChip Cookies,80,26,67.5,No,167 g,4.8,167,21 mins,cookies,54
UNIBIC Cashew Badam Cookies,122,44,63.93,No,270 g,4.6,270,5 mins,cookies,78
