Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Thums Up Soft Drink,75,9,80,No,750 ml,4.7,750,8 mins,cool drink,66
Campa Cola Soft Drink,19,1,94.74,No,75 ml,4.6,500,8 mins,cool drink,18
Dobra Pop Goli Kokum Jeera Soft Drink,80,4,95,No,75 ml,3.1,749,8 mins,cool drink,76
Fast,60,28,53.33,No,75 ml,4.8,500,8 mins,cool drink,32
Pepsi Zero Sugar Soft Drink,19,1,94.74,No,75 ml,4.5,400,8 mins,cool drink,18
Thums Up Soft Drink,70,12,82.86,No,75 ml,4.7,465,8 mins,cool drink,58
Paper Boat Aamras Drink,40,13,67.5,No,75 ml,4.6,200,8 mins,cool drink,27
Thums Up Soft Drink,110,21,80.91,No,100 ml,4.6,110,8 mins,cool drink,89
Fast,295,75,74.58,No,100 ml,,295,8 mins,cool drink,220
Campa Lemon Soft Drink,19,1,94.74,No,100 ml,4.7,500,8 mins,cool drink,18
Maaza Mango Fruit Juice,35,5,85.71,No,100 ml,4.6,600,8 mins,cool drink,30
Pluckk Natural Tender Coconut Water With Real Malai Chunks,99,23,76.77,No,100 ml,4.6,651,8 mins,cool drink,76
Real Activ Coconut Water,168,81,51.79,No,100 ml,4.5,168,8 mins,cool drink,87
Sprite Lemon and Lime Soft Drink,45,10,77.78,No,100 ml,4.7,750,8 mins,cool drink,35
Thums Up Soft Drink Can,40,9,77.5,No,100 ml,4.7,300,8 mins,cool drink,31
Centrum Recharge Kids Powder Energy Drink Mix,60,8,86.67,No,100 ml,,60,8 mins,cool drink,52
Centrum Recharge Instant Energy Mix Combo,120,24,80,No,100 ml,,120,8 mins,cool drink,96
Campa Orange Soft Drink,19,1,94.74,No,100 ml,4.7,500,8 mins,cool drink,18
Sprite Lemon and Lime Soft Drink,70,15,78.57,No,100 ml,4.6,70,8 mins,cool drink,55
Centrum Recharge Multivitamin Powder Energy Drink Mix,60,12,80,No,100 ml,,60,8 mins,cool drink,48
Centrum Kids Recharge Fizzy Drink Mix Combo,120,16,86.67,No,100 ml,,120,8 mins,cool drink,104
Bisleri Pop Orange Soft Drink,100,10,,No,100 ml,4.6,160,8 mins,cool drink,90
Sting Energy Drink,20,3,85,No,100 ml,4.7,250,8 mins,cool drink,17
3 Sisters Kiwi and Mint Non Alcoholic Beer Combo,220,26,88.18,No,100 ml,4.5,963,8 mins,cool drink,194
3 Sisters Peach Non Alcoholic Beer Combo,220,20,90.91,No,100 ml,4.7,896,8 mins,cool drink,200
Coca,40,7,82.5,No,100 ml,4.7,300,8 mins,cool drink,33
Thums Up Soft Drink,160,28,82.5,No,100 ml,4.7,465,8 mins,cool drink,132
3 Sisters Cranberry Non Alcoholic Beer Combo,220,24,89.09,No,100 ml,4.4,776,8 mins,cool drink,196
Paper Boat Tender Coconut Water,140,63,55,No,100 ml,4.4,140,8 mins,cool drink,77
Coca,45,10,77.78,No,750 ml,4.7,750,8 mins,cool drink,35
Coca,40,9,77.5,No,300 ml,4.6,300,8 mins,cool drink,31
Mirinda Orange Flavoured Soft Drink,100,28,72,No,75 ml,4.6,100,8 mins,cool drink,72
Pepsi Soft Drink,100,30,70,No,75 ml,4.7,164,8 mins,cool drink,70
Frooti Mango Fruit Juice,75,24,68,No,75 ml,4.7,127,8 mins,cool drink,51
Frooti Mango Fruit Juice,35,4,88.57,No,600 ml,4.7,600,8 mins,cool drink,31
Coca,70,11,84.29,No,75 ml,4.7,235,8 mins,cool drink,59
Sprite Zero Lemon Diet Soft Drink Can,40,11,72.5,No,300 ml,4.7,300,8 mins,cool drink,29
Bisleri Limonata Lemon and Mint Soft Drink,40,10,75,No,600 ml,4.7,600,8 mins,cool drink,30
Sprite Lemon Soft Drink,160,28,82.5,No,250 ml,4.7,250,8 mins,cool drink,132
Coca,45,12,73.33,No,750 ml,4.7,750,8 mins,cool drink,33
7 Up Lemon Soft Drink,100,40,60,No,750 ml,4.6,100,8 mins,cool drink,60
Predator Energy Drink Can,60,12,80,No,300 ml,4.6,300,8 mins,cool drink,48
Gatorade Orange Zero Sugar Energy Drink,19,1,94.74,No,250 ml,4.7,250,8 mins,cool drink,18
Coca,110,6,94.55,No,250 ml,4.6,110,8 mins,cool drink,104
Monster Energy Drink,125,44,64.8,No,350 ml,4.7,350,8 mins,cool drink,81
Gatorade Lemon Zero Sugar Energy Drink,19,1,94.74,No,250 ml,4.7,250,8 mins,cool drink,18
