Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Happi Planet Organic Front,598,118,80.27,No,2 l,4.5,439,20 mins,detergent,480
Surf Excel Matic Top Load Detergent Liquid,573,129,77.49,No,2 l,4.7,573,5 mins,detergent,444
Godrej Fab Machine,99,15,84.85,No,950 ml,4.8,950,5 mins,detergent,84
Ghadi Detergent Powder,71,17,76.06,No,850 ml,4.6,71,5 mins,detergent,54
Rin Detergent Powder,100,7,93,No,850 ml,4.8,100,5 mins,detergent,93
Surf Excel Matic Express Clean,235,31,86.81,No,830 ml,4.8,144,5 mins,detergent,204
Surf Excel Easy Wash Detergent Powder,1030,311,69.81,No,7 kg,4.7,1030,5 mins,detergent,719
Rin Matic Top Load Detergent Liquid,249,71,71.49,No,2 l,4.8,249,5 mins,detergent,178
IFB essentials Fluff Front Load Liquid Detergent,360,38,89.44,No,2 l,,168,5 mins,detergent,322
Smart One Active Wash Detergent Liquid Floral Fragrance,100,9,91,No,2 l,4.6,100,5 mins,detergent,91
Tide Plus Jasmine,138,18,86.96,No,1 kg,4.7,138,5 mins,detergent,120
Surf Excel Matic Front Load Detergent Liquid,539,71,86.83,No,2 l,4.8,539,5 mins,detergent,468
Surf Excel Matic Front Load Detergent Liquid,858,159,81.47,No,5 l,4.8,858,5 mins,detergent,699
Wheel Detergent Powder,236,21,91.1,No,4 kg,4.7,236,5 mins,detergent,215
Surf Excel Easy Wash Detergent Powder,152,16,89.47,No,1 kg,4.8,152,5 mins,detergent,136
Surf Excel Easy Wash Detergent Powder,770,203,73.64,No,5 kg,4.8,770,5 mins,detergent,567
Surf Excel Detergent Bar,900,1,88.89,No,90 g,4.7,90,5 mins,detergent,899
Ghadi Detergent Powder,210,47,77.62,No,3 l,4.6,210,5 mins,detergent,163
Ariel Stain Removal Front Load Washing Machine Detergent Liquid,839,290,65.44,No,4 l,4.6,839,5 mins,detergent,549
Ariel Matic Detergent Powder Front Load Liquid ,1250,67,94.64,No,5 l,4.7,881,5 mins,detergent,1183
Surf Excel Quick Wash Detergent Powder,103,15,85.44,No,500 g,4.7,500,5 mins,detergent,88
Morelight Extra Power Detergent Powder,472,199,57.84,No,4 kg,4.7,472,5 mins,detergent,273
Ariel Matic Detergent Powder Top Load Liquid ,1150,61,94.7,No,3 l,4.5,190,5 mins,detergent,1089
Ariel Stain Removal Top Load Washing Machine Detergent Liquid,749,261,65.15,No,4 l,4.6,749,5 mins,detergent,488
Beco Top Load Laundry Detergent Liquid,220,94,57.27,No,960 ml,4.4,960,5 mins,detergent,126
Ariel Stain Removal Top Load Washing Machine Detergent Liquid,185,3,98.38,No,950 ml,4.7,950,5 mins,detergent,182
Ariel Stain Removal Front Load Washing Machine Detergent Liquid,1185,424,64.22,No,6 l,4.5,1185,5 mins,detergent,761
Ariel Stain Removal Top Load Washing Machine Detergent Liquid,1009,384,61.94,No,6 l,4.8,1009,5 mins,detergent,625
Tide Plus Lemon,138,10,92.75,No,1 kg,4.8,138,5 mins,detergent,128
Ariel Stain Removal Top Load Washing Machine Detergent Liquid,329,48,85.41,No,2 l,4.7,329,5 mins,detergent,281
