Name,Original Price,Discounted Price,Discount Percent,Price (raw),Premium,quantity,Rating,Review Count,Delivery Time,Category,Price
"Fire-Boltt Fire Pods Aero TWS Earbud with Custom EQ Profile, Quad Mic ENC & 50H Playtime, Ultra Low 50ms Game Mode, Black",8999,8,99.91,₹829 | ₹8999 | ₹8,No,,4.1,183,16 mins,electronics,8999
"Fire-Boltt Fire Pods Aero TWS Earbud with Custom EQ Profile, Quad Mic ENC & 50H Playtime, Ultra Low 50ms Game Mode, White",8999,8,99.91,₹829 | ₹8999 | ₹8,No,,4.2,130,16 mins,electronics,8999
"Dubstep Buzz X5 in-Ear TWS Earbuds with Upto 50 hrs Playtime, 13mm Dynamic Drivers, X-Bass Technology, ENC, Bluetooth V5.3 Earphones, Type-C Fast Charging - Black & Yellow",2999,2,99.93,₹499 | ₹2999 | ₹2,No,"Dubstep Buzz X5 in-Ear TWS Earbuds with Upto 50 hrs Playtime, 13mm Dynamic Drivers, X-Bass Technology, ENC, Bluetooth V5.3 Earphones, Type-C Fast Charging - Black & Yellow",4.3,2999,16 mins,electronics,2999
"boAt Airdopes Primo in Ear TWS Earbuds with 45 Hours Playback, Fast Charge, Beast Mode, Dual Mics Enx, IPX Bluetooth Earbuds - Active Black",4490,3,99.93,₹799 | ₹4490 | ₹3,No,,4.2,4490,16 mins,electronics,4490
Dubstep Buzz X3 with 42 Hrs Playtime True Wireless TWS Earbuds (Black/Blue),2999,2,99.93,₹499 | ₹2999 | ₹2,No,Dubstep Buzz X3 with 42 Hrs Playtime True Wireless TWS Earbuds (Black/Blue),4.5,2999,16 mins,electronics,2999
Swiss Military Audio Earbuds Octa Lite,4290,3,99.93,₹659 | ₹4290 | ₹3,No,,3.7,87,16 mins,electronics,4290
"Fire-Boltt Fire Pods Aero Pro TWS Earbud with Custom EQ Profile, Quad Mic ENC & 50H Playtime, Ultra Low 50ms Game Mode, Walnut",8999,8,99.91,₹919 | ₹8999 | ₹8,No,,4.5,435,16 mins,electronics,8999
"Noise Buds Nero TWS Earbuds with Rubberised Finish, Quad Mic ENC & 45H Playtime - Charcoal Black",3499,2,99.94,₹699 | ₹3499 | ₹2,No,,,3499,16 mins,electronics,3499
"Fire-Boltt Fire Pods Aero Ultra TWS Earbud with Custom EQ Profile, Quad Mic ENC & 50H Playtime, Ultra Low 50ms Game Mode, Black Metal",8999,8,99.91,₹999 | ₹8999 | ₹8,No,,4.4,711,16 mins,electronics,8999
"Portronics Harmonics Twins S3 Smart TWS Earbuds with 20 Hrs Playtime, Bluetooth 5.2, 8mm Drivers, Lightweight Design - Black",1999,1,99.95,₹649 | ₹1999 | ₹1,No,,,1999,16 mins,electronics,1999
"GOBOULT K10 in Ear TWS Earbuds with 50H Playtime, 4 Mic Clear Calling, 45ms Low Latency, 10mm Drivers, Touch Control, Type-C Fast Charging,TWS Ear Buds Wireless - Pure Black",2499,1,99.96,₹799 | ₹2499 | ₹1,No,,3.3,402,16 mins,electronics,2499
Swiss Military Audio Earbuds - Zeus Plus | Blue,4690,4,99.91,₹599 | ₹4690 | ₹4,No,,3.6,342,16 mins,electronics,4690
"truke Buds F1 Ultra TWS in Ear Earbuds Spatial Audio Experience, 60H Playtime Ear Buds, Quad Mics Crystal-Clear Calls, Fast Charging, Bluetooth 5.3, Noise Cancellation, Gaming Mode - Black",2999,2,99.93,₹799 | ₹2999 | ₹2,No,,4.5,2999,16 mins,electronics,2999
"truke BTG Ultra Truly Wireless Bluetooth Earbuds with 60H Battery, 360 Spatial Audio - Metal Black",2999,2,99.93,₹899 | ₹2999 | ₹2,No,,4.1,783,16 mins,electronics,2999
"GOBOULT Z40 Pro TWS Earbuds with 100H Playtime,Quad Mic ENC,45ms Low Latency Gaming,Premium Rubber Grip Case,13mm Bass Drivers,Made in India TWS - Midnight, Black",5499,4,99.93,₹1299 | ₹5499 | ₹4,No,,3.7,835,16 mins,electronics,5499
"Portronics Harmonics Twins S7 in Ear TWS Earbuds with 35Hrs Playtime, Auto ENC, Quad Mic,13mm Driver, Touch Control, BT 5.3v, Voice Assistant, Type C Charging Port - White",1999,1,99.95,₹909 | ₹1999 | ₹1,No,,3.2,102,16 mins,electronics,1999
Nu Republic Epic ANC TWS Earbuds (Black/Yellow),3999,3,99.92,₹799 | ₹3999 | ₹3,No,,,127,16 mins,electronics,3999
"GOBOULT X Mustang Torq in Ear TWS Earbuds with 50H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, Breathing LEDs, 13mm Drivers, Touch Control, Made in India IPX5 Ear Buds TWS Bluetooth 5.4 - Mustang Torq Blue",5999,1,99.98,₹4380 | ₹5999 | ₹1,No,,2.7,782,16 mins,electronics,5999
"boAt Nirvana Ion ANC TWS Earbuds w/ 120H Playtime, ANC upto 32dB & In-Ear Detection (Quartz White)",9990,8,99.92,₹1999 | ₹9990 | ₹8,No,,4.5,127,16 mins,electronics,9990
"boAt Immortal 181 in Ear TWS Gaming Earbuds with up to 40 hrs Playtime,Quad Mics with ENx Tech,Beast Mode with 40ms Latency,ASAP Charge,IPX4,IWP, RGB LED Lights, BTv5.3 - White Sabre",3499,2,99.94,₹999 | ₹3499 | ₹2,No,,3.5,532,16 mins,electronics,3499
"Portronics Harmonics Twins S6 TWS Earbuds with 50Hrs Playtime, Low Latency, Auto ENC, Quad Mics, 10mm Drivers, IPX4 Water Resistant, ASAP Charge, BT5.3, Touch Control, Type C Charging Port(Black)",2999,2,99.93,₹869 | ₹2999 | ₹2,No,,3.8,159,16 mins,electronics,2999
"GOBOULT K10 in Ear TWS Earbuds with 50H Playtime, 4 Mic Clear Calling, 45ms Low Latency, 10mm Drivers, Touch Controls, Type-C Fast Charging - Ice Blue",2499,1,99.96,₹849 | ₹2499 | ₹1,No,,4.3,586,16 mins,electronics,2499
"Noise VS104 TWS Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 Min), 13Mm Driver, Low Latency, BT V5.2 - Charcoal Black",3499,2,99.94,₹1099 | ₹3499 | ₹2,No,,3.5,836,16 mins,electronics,3499
"boAt Airdopes 111 v2 TWS Ear Buds with mic, Premium Leather Finish, 4Mics ENx,50HRS Battery, Free Music Streaming,13mm Drivers,Fast Charge,Dual Pair, Bluetooth Earbuds - Ivory White",4990,3,99.94,₹1199 | ₹4990 | ₹3,No,,4.8,213,16 mins,electronics,4990
"truke BTG Ultra Truly Wireless Bluetooth Earbuds with 60H Battery, 360 Spatial Audio - Mint Mist",2999,2,99.93,₹899 | ₹2999 | ₹2,No,,4.3,164,16 mins,electronics,2999
Nu Republic Epic X4 With 52 Hrs Playtime Tws Earbuds | Blue,3499,2,99.94,₹759 | ₹3499 | ₹2,No,Nu Republic Epic X4 With 52 Hrs Playtime Tws Earbuds | Blue,4.3,242,16 mins,electronics,3499
Dubstep Buzz X8 with 56 Hrs Playtime ENC TWS Earbuds | Neon Green,2999,2,99.93,₹699 | ₹2999 | ₹2,No,Dubstep Buzz X8 with 56 Hrs Playtime ENC TWS Earbuds | Neon Green,4.3,862,16 mins,electronics,2999
Portronics Harmonics Twins 28 (POR2242) Smart TWS Earbuds - White,2999,1,99.97,₹1199 | ₹2999 | ₹1,No,,3.9,63,16 mins,electronics,2999
"GOBOULT W20 in Ear TWS Earbuds with 40H Playtime, Zen ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Touch Controls, IPX5 Ear Buds - Space Black",2499,1,99.96,₹799 | ₹2499 | ₹1,No,,4.4,771,16 mins,electronics,2499
"boAt Airdopes Ultra Plus TWS Earbuds With 50 Hrs Playback, 4-mic Enx Technology(Sporty Blue)",4990,3,99.94,₹1099 | ₹4990 | ₹3,No,,,125,16 mins,electronics,4990
Open Box Delivery,12900,901,93.02,₹11999 | ₹12900 | ₹901 | ₹1150,No,,4.4,178,16 mins,electronics,12900
