Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Banana Robusta,31,11,64.52,No,100 g,,31,7 mins,fruits,20
Guava,64,21,67.19,No,250 g,,500,7 mins,fruits,43
Baby Apple Shimla,139,30,78.42,No,250 g,,500,7 mins,fruits,109
Indian Red Dragon Fruit,101,37,63.37,No,250 g,,101,7 mins,fruits,64
Pineapple Slice,86,20,76.74,No,250 g,,175,7 mins,fruits,66
Grapes Bengalore Blue,90,32,64.44,No,250 g,,500,7 mins,fruits,58
Watermelon Kiran,132,30,77.27,No,250 g,,132,7 mins,fruits,102
Mosambi,57,13,77.19,No,250 g,,500,7 mins,fruits,44
Guava Thai,43,18,58.14,No,250 g,,43,7 mins,fruits,25
Pomegranate Premium,170,60,64.71,No,250 g,,170,7 mins,fruits,110
Apple Shimla,128,27,78.91,No,250 g,,128,7 mins,fruits,101
Papaya,90,32,64.44,No,250 g,,90,7 mins,fruits,58
Apple Shimla,197,73,62.94,No,250 g,,197,7 mins,fruits,124
Pomegranate Regular,247,52,78.95,No,250 g,,247,7 mins,fruits,195
Dragon Fruit,101,21,79.21,No,250 g,,101,7 mins,fruits,80
Muskmelon,85,19,77.65,No,250 g,,85,7 mins,fruits,66
Gooseberry,52,14,73.08,No,250 g,,250,7 mins,fruits,38
Pineapple,88,25,71.59,No,250 g,,88,7 mins,fruits,63
Cucumber Green,36,8,77.78,No,250 g,,500,7 mins,fruits,28
Snacky Avocado,134,40,70.15,No,250 g,,134,7 mins,fruits,94
Snacky Avocado,84,36,57.14,No,250 g,,250,7 mins,fruits,48
Pomegranate,281,59,79,No,250 g,,281,7 mins,fruits,222
Mosambi Regular,172,36,79.07,No,250 g,,172,7 mins,fruits,136
Banana Elaichi,66,15,77.27,No,120 g,,500,7 mins,fruits,51
Tender Coconut,115,25,78.26,No,120 g,,115,7 mins,fruits,90
Grapes Red Globe,132,34,74.24,No,250 g,,250,7 mins,fruits,98
Daily Good Almond,130,35,73.08,No,100 g,4.6,130,7 mins,fruits,95
Fruit Bowl,114,26,77.19,No,100 g,,300,7 mins,fruits,88
Banana Chekara Keli,92,19,79.35,No,100 g,,500,7 mins,fruits,73
Coconut,69,19,72.46,No,100 g,,69,7 mins,fruits,50
Carrot,81,21,74.07,No,100 g,,500,7 mins,fruits,60
Carrot,46,21,54.35,No,100 g,,300,7 mins,fruits,25
Carrot Cut,44,10,77.27,No,100 g,,200,7 mins,fruits,34
Apple Green,143,29,79.72,No,100 g,,143,7 mins,fruits,114
Passion Fruit,110,41,62.73,No,100 g,,200,7 mins,fruits,69
Grapefruit,103,22,78.64,No,100 g,,103,7 mins,fruits,81
Orange Nagpur,62,13,79.03,No,500 g,,500,7 mins,fruits,49
Banana Red Semi Ripe,84,18,78.57,No,500 g,,500,7 mins,fruits,66
Cucumber English,64,22,65.62,No,500 g,,500,7 mins,fruits,42
Orange Imported,132,27,79.55,No,500 g,,132,7 mins,fruits,105
Coconut Kalash,168,29,57.35,No,500 g,,68,7 mins,fruits,139
Mosambi Combo,114,26,77.19,No,500 g,,114,7 mins,fruits,88
