Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Estailo Fashion Women's Jewellery Earrings ,399,129,67.67,No,1 pcs,4.3,203,22 mins,jewellery,270
Estailo Fashion Women's Jewellery Earrings,399,80,79.95,No,1 pcs,4.1,242,22 mins,jewellery,319
Estailo Fashion Women's Jewellery Earrings ,399,120,69.92,No,1 pcs,4.5,174,22 mins,jewellery,279
Estailo Fashion Women's Jewellery Earrings ,399,120,69.92,No,1 pcs,,162,22 mins,jewellery,279
Estailo Fashion Women's Jewellery Earrings ,399,80,79.95,No,1 pcs,4.6,118,22 mins,jewellery,319
Estailo Fashion Women's Jewellery Necklace,399,109,72.68,No,1 pcs,4.2,213,22 mins,jewellery,290
Estailo Fashion Women's Jewellery Earrings ,399,146,63.41,No,1 pcs,4.7,170,22 mins,jewellery,253
Estailo Fashion Women's Jewellery Earrings ,399,120,69.92,No,1 pcs,4.3,184,22 mins,jewellery,279
Estailo Fashion Women's Jewellery Earrings ,399,114,71.43,No,1 pcs,4.3,137,22 mins,jewellery,285
Estailo Fashion Women's Jewellery Earrings ,399,129,67.67,No,1 pcs,4.9,76,22 mins,jewellery,270
Estailo Fashion Women's Jewellery Earrings ,399,110,72.43,No,1 pcs,4.6,77,22 mins,jewellery,289
Estailo Fashion Women's Jewellery Bracelets ,699,210,69.96,No,1 pcs,4.7,129,22 mins,jewellery,489
Estailo Fashion Women's Jewellery Earrings ,499,180,63.93,No,1 pcs,4.3,72,22 mins,jewellery,319
Estailo Fashion Women's Jewellery Necklace,499,140,71.94,No,1 pcs,4.6,102,22 mins,jewellery,359
Estailo Fashion Women's Jewellery Earrings ,399,80,79.95,No,1 pcs,3.5,79,22 mins,jewellery,319
Estailo Fashion Women's Jewellery Earrings ,399,139,65.16,No,1 pcs,4.5,78,22 mins,jewellery,260
Estailo Fashion Women's Jewellery Earrings ,399,139,65.16,No,1 pcs,4.1,79,22 mins,jewellery,260
Estailo Fashion Women's Jewellery Earrings ,499,149,70.14,No,1 pcs,3.8,80,22 mins,jewellery,350
Estailo Fashion Women's Jewellery Earrings ,399,100,74.94,No,1 pcs,4.2,68,22 mins,jewellery,299
Estailo Fashion Women's Jewellery Red Earrings ,399,100,74.94,No,1 pcs,4.6,69,22 mins,jewellery,299
YouBella Jewellery Earrings for women Crystal Earrings ,1599,1,99.94,No,1 pcs,3.6,174,22 mins,jewellery,1598
Estailo Fashion Women's Bling Blogger Bow Earrings,198,88,55.56,No,1 pcs,4.5,746,22 mins,jewellery,110
Estailo Fashion Women's Jewellery Necklace,499,150,69.94,No,1 pcs,4.4,65,22 mins,jewellery,349
