Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Meatzza Chicken Jumbo Hotdog,190,42,77.89,No,250 g,3.9,311,8 mins,meats,148
Meatzza Uro Pork Sausages,245,49,80,No,250 g,1.2,67,8 mins,meats,196
Meatzza Fresh Boneless Chicken Thighs Combo,560,34,93.93,No,500g,4.2,136,8 mins,meats,526
Meatzza Fresh Boneless Chicken Thighs,280,17,93.93,No,500 g,3.8,176,8 mins,meats,263
Meatzza Fresh Chicken Drumsticks,245,15,93.88,No,500 g,,222,8 mins,meats,230
Meatzza Bone,195,12,93.85,No,500 g,4.1,504,8 mins,meats,183
Godrej Yummiez Real Good Chicken Drumstick,250,21,91.6,No,500 g,3.9,273,8 mins,meats,229
Prasuma Chicken Pepperoni Salami Combo,320,54,83.12,No,500 g,4.2,272,8 mins,meats,266
Godrej Yummiez Chicken,285,95,66.67,No,325 g,4.1,694,8 mins,meats,190
Meatigo Frozen Chicken Boneless Breast,275,31,88.73,No,450 g,4.1,873,8 mins,meats,244
Deli Chic Chicken Sandwich Ham Slices,199,15,92.46,No,200 g,,118,8 mins,meats,184
Relish Mutton Mince,329,14,95.74,No,250 g,4.4,451,8 mins,meats,315
Venky's Chicken Nuggets,205,41,80,No,300 g,4.6,300,8 mins,meats,164
Relish Chicken Breast Boneless,269,53,80.3,No,450 g,4.5,450,8 mins,meats,216
Godrej Yummiez Chicken Kheema,190,41,78.42,No,300 g,4.3,439,8 mins,meats,149
Godrej Yummiez Chilli Chicken Sausages,190,64,66.32,No,250 g,4.6,250,8 mins,meats,126
Godrej Yummiez Chicken Bites Nuggets,199,52,73.87,No,225 g,4.5,238,8 mins,meats,147
Venky's Chicken Pops,200,45,77.5,No,300 g,4.5,300,8 mins,meats,155
ITC Master Chef Chicken Popcorn,345,58,83.19,No,500 g,4.6,500,8 mins,meats,287
Relish Chicken Drumstick,109,10,90.83,No,100 g,4.3,109,8 mins,meats,99
Meatzza Chicken Malai Seekh Kabab,375,64,82.93,No,500 g,4.5,250,8 mins,meats,311
Nandus Chicken Curry Cut without Skin,169,30,82.25,No,500 g,4.3,500,8 mins,meats,139
Godrej Yummiez Chicken Pepper,199,67,66.33,No,250 g,4.7,751,8 mins,meats,132
ITC Master Chef Crunchy Chicken Nuggets,650,112,82.77,No,150 g,4.8,650,8 mins,meats,538
Relish Chicken Curry Cut With Skin,179,39,78.21,No,500 g,4.2,500,8 mins,meats,140
