Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Godrej Jersey Toned Milk,130,1,96.67,No,500 ml,4.7,500,10 mins,milk,129
Heritage Toned Fresh Milk,132,32,,No,500 ml,4.7,500,10 mins,milk,100
Sids Farm Skim Milk,132,32,,Yes,500 ml,4.4,500,10 mins,milk,100
Vijaya Toned Fresh Milk,130,30,,No,500 ml,4.7,500,10 mins,milk,100
Arokya Toned Fresh Milk,131,31,,No,500 ml,4.7,500,10 mins,milk,100
Heritage Special Long Life Toned Milk,133,2,93.94,No,500 ml,4.6,500,10 mins,milk,131
Godrej Jersey Full Cream Milk,142,4,90.48,No,500 ml,4.6,500,10 mins,milk,138
Heritage Full Cream Fresh Milk,141,1,97.56,No,500 ml,4.7,500,10 mins,milk,140
Arokya Full Cream Fresh Milk,141,41,,No,500 ml,4.7,500,10 mins,milk,100
Amul Moti,129,29,,No,450 ml,4.6,450,10 mins,milk,100
Godrej Jersey Rich Toned Fresh Milk,131,1,96.77,No,500 ml,4.6,500,10 mins,milk,130
Dodla Long Life Toned Milk,133,2,93.94,No,500 ml,4.6,500,10 mins,milk,131
Sid's Farm Cow Fresh Milk,142,42,,Yes,500 ml,4.7,500,10 mins,milk,100
Heritage Golden Cow Milk,131,1,96.77,No,500 ml,4.7,500,10 mins,milk,130
Nandini Goodlife Toned Milk UHT,167,1,98.51,No,500 ml,4.8,67,10 mins,milk,166
Amul Taaza Homogenised Toned Milk,116,16,,No,500 ml,4.7,200,10 mins,milk,100
Sid's Farm Toned Milk,136,5,86.11,No,500 ml,4.5,764,10 mins,milk,131
Amul Taaza Homogenised Toned Milk,175,3,96,No,500 ml,4.7,120,10 mins,milk,172
Amul Lactose Free Milk,125,1,96,Yes,500 ml,4.7,250,10 mins,milk,124
Amul Gold Homogenised Standardised Milk,180,80,,No,500 ml,4.7,80,10 mins,milk,100
Heritage Farm Fresh Toned Tetra pack Milk,72,6,91.67,No,500 ml,4.7,72,10 mins,milk,66
Nandini Goodlife Slim Skimmed Milk UHT,136,36,,No,500 ml,4.6,500,10 mins,milk,100
Amul Slim Trim Skimmed Milk,85,3,96.47,No,500 ml,4.6,85,10 mins,milk,82
Nandini Goodlife Slim Skimmed Milk UHT,170,1,98.57,No,500 ml,4.7,70,10 mins,milk,169
Akshayakalpa Organic Cow Milk,126,26,,Yes,1 l,4.9,126,10 mins,milk,100
Heritage Sampurna A2 Buffalo Milk,150,2,96,No,500 ml,4.7,500,10 mins,milk,148
Sids Farm A2 Buffalo Double Toned Milk,144,44,,Yes,500 ml,4.5,500,10 mins,milk,100
Britannia Milk Slice White Bread,30,4,86.67,No,500 ml,4.5,200,10 mins,milk,26
Milky Mist Curd Pouch,42,6,85.71,No,500 ml,4.7,400,10 mins,milk,36
Nandini Goodlife Toned Milk UHT,204,3,98.53,No,500 ml,4.4,726,10 mins,milk,201
Britannia Milk Slice White Bread,55,3,94.55,No,500 ml,4.5,400,10 mins,milk,52
Heritage Toned Fresh Milk,128,28,,No,500 ml,4.7,339,10 mins,milk,100
Milky Mist Curd Pouch,120,2,90,No,500 ml,4.5,200,10 mins,milk,118
Heritage Full Cream Fresh Milk,84,2,97.62,No,500 ml,4.6,991,10 mins,milk,82
Milky Mist Fruit Yogurt Blueberry,130,7,76.67,No,500 ml,4.6,100,10 mins,milk,123
Heritage Toned Fresh Milk,164,64,,No,500 ml,4.7,216,10 mins,milk,100
Amul Moti,158,58,,No,500 ml,4.4,135,10 mins,milk,100
Arokya Toned Fresh Milk,162,62,,No,500 ml,4.5,562,10 mins,milk,100
Nandini Goodlife Toned Milk UHT,408,12,97.06,No,500 ml,4.6,702,10 mins,milk,396
Heritage Toned Fresh Milk,196,96,,No,500 ml,4.7,272,10 mins,milk,100
Heritage Full Cream Fresh Milk,126,3,97.62,No,500 ml,4.4,789,10 mins,milk,123
Heritage Fresh Buffalo Milk,100,4,96,No,500 ml,4.3,127,10 mins,milk,96
Milky Mist Fruit Yogurt Strawberry,130,6,80,No,500 ml,4.5,100,10 mins,milk,124
Arokya Toned Fresh Milk,193,93,,No,500 ml,4.4,497,10 mins,milk,100
Arokya Full Cream Fresh Milk,182,82,,No,500 ml,4.2,638,10 mins,milk,100
Modern Bread Milk Plus,55,3,94.55,No,200 ml,4.6,400,10 mins,milk,52
Godrej Jersey Rich Toned Fresh Milk,64,2,96.88,No,200 ml,4.4,353,10 mins,milk,62
Dodla Long Life Toned Milk,66,4,93.94,No,200 ml,4.5,139,10 mins,milk,62
Milky Mist Fruit Yogurt Strawberry Combo,90,18,80,No,200 ml,4.4,759,10 mins,milk,72
Heritage A,30,5,83.33,No,200 ml,4.7,500,10 mins,milk,25
Heritage Special Long Life Toned Milk,67,3,95.52,No,200 ml,4.7,263,10 mins,milk,64
Milky Mist Fruit Yogurt Mango,30,2,93.33,No,200 ml,4.7,100,10 mins,milk,28
Milky Mist Fruit Yogurt Blueberry Combo,60,14,76.67,No,200 ml,4.4,492,10 mins,milk,46
Milky Mist Fruit Yogurt Blueberry Combo,90,21,76.67,No,200 ml,4.2,885,10 mins,milk,69
Amul Taaza Homogenised Toned Milk,66,2,96.97,No,200 ml,4.5,272,10 mins,milk,64
Spencer's Premium Milk Bread,55,3,94.55,No,200 ml,4.6,400,10 mins,milk,52
Milky Mist Paneer,125,44,64.8,No,200 ml,4.6,200,10 mins,milk,81
Godrej Jersey Rich Toned Fresh Milk,128,4,96.88,No,200 ml,4.3,521,10 mins,milk,124
Sid's Farm Buttermilk,120,3,85,No,200 ml,4.5,200,10 mins,milk,117
Amul Moti,187,87,,No,200 ml,4.7,178,10 mins,milk,100
Arokya Full Cream Fresh Milk,123,23,,No,200 ml,4.5,843,10 mins,milk,100
Akshayakalpa Organic Probiotic Plain Buttermilk,19,1,94.74,No,200 ml,4.6,200,10 mins,milk,18
Amul Taaza Homogenised Toned Milk,82,3,96.34,No,200 ml,4.3,75,10 mins,milk,79
Modern Family Special White Bread,50,2,96,No,200 ml,4.6,400,10 mins,milk,48
Nandini Goodlife Toned Milk UHT,136,2,98.53,No,200 ml,4.7,118,10 mins,milk,134
Britannia Milk Slice White Bread Combo,110,6,94.55,No,200 ml,4.2,831,10 mins,milk,104
Sid's Farm Sweet Lassi,30,4,86.67,No,200 ml,4.5,200,10 mins,milk,26
Sid's Farm Cow Fresh Milk Combo,184,84,,No,200 ml,4.4,75,10 mins,milk,100
Akshayakalpa Organic Probiotic Spiced Buttermilk,19,1,94.74,No,200 ml,4.7,200,10 mins,milk,18
Heritage Fresh Buffalo Milk,150,6,96,No,200 ml,4.5,264,10 mins,milk,144
Daily Good Milk Bread,155,13,76.36,No,200 ml,4.3,319,10 mins,milk,142
Amul Taaza Homogenised Toned Milk,32,1,96.88,No,200 ml,4.7,215,10 mins,milk,31
Milky Mist Greek Yogurt,50,5,90,No,200 ml,4.7,100,10 mins,milk,45
Godrej Jersey Rich Toned Fresh Milk,96,3,96.88,No,200 ml,4.2,891,10 mins,milk,93
Milky Mist Set Curd Tub,120,22,81.67,No,200 ml,4.7,120,10 mins,milk,98
Heritage Special Long Life Toned Milk,100,5,95,No,200 ml,4.3,890,10 mins,milk,95
Britannia Breakfast Slice White Bread,55,6,89.09,No,200 ml,4.6,450,10 mins,milk,49
