Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price 
"Engage W2 Perfume for Women, Floral",230,93,59.57,No,120 ml,4.6,230,12 mins,fragrances,137
Park Avenue Pure Collection Trance Perfume Spray,199,51,74.37,No,135 ml,4.3,199,12 mins,fragrances,148
Wild Stone Edge Perfume for Men,699,324,53.65,No,100 ml,4.7,699,12 mins,fragrances,375
The Man Company Signature Perfume Duo,498,214,57.03,No,100 ml,3.9,751,12 mins,fragrances,284
"Engage ON Cool Marine Pocket Perfume For Men, Citrus",70,9,87.14,No,18 ml,4.5,70,12 mins,fragrances,61
The Man Company Black EDT Perfume for Men,2499,2,99.92,No,100 ml,4.4,629,12 mins,fragrances,2497
Secret Temptation Te Amo Aqua No Gas Perfume Body Spray for Women,250,86,65.6,No,120 ml,4.4,250,12 mins,fragrances,164
Bella Vita Organic Luxury Perfumes Gift Set For Women,849,300,64.66,No,20 ml,4.6,849,12 mins,fragrances,549
Bella Vita Organic Unisex Luxury Perfume Gift Set,849,300,64.66,No,20 ml,4.7,849,12 mins,fragrances,549
Villain Snake Perfume For Men Strong Smoky Sexy And Masculine,799,356,55.44,No,100 ml,4.6,799,12 mins,fragrances,443
Villain Perfume Eau De Parfum,799,321,59.82,No,100 ml,4.5,926,12 mins,fragrances,478
Engage W1 Perfume Spray For Women,230,66,71.3,No,120 ml,4.4,914,12 mins,fragrances,164
Park Avenue Good Morning Perfume For Men Fresh Long Lasting Fragrance,225,65,71.11,No,150 ml,4.2,225,12 mins,fragrances,160
Wild Stone Body Perfume For Men,275,101,63.27,No,120 ml,4.4,275,12 mins,fragrances,174
Wild Stone Ultra Sensual Perfume,699,276,60.52,No,100 ml,4.7,699,12 mins,fragrances,423
"Engage ON Cool Aqua Pocket Perfume For Women, Floral",70,5,92.86,No,8 ml,4.7,440,12 mins,fragrances,65
Villain Exotic Oud Luxury Premium Long,399,136,65.91,No,50 ml,4.2,642,39 mins,fragrances,263
Secret Temptation Romance Eau De Parfum For Women,699,324,53.65,No,100 ml,4.4,443,12 mins,fragrances,375
Beardo Godfather Long Lasting Perfume For Men Eau De Parfum,699,115,83.55,No,100 ml,4.6,373,39 mins,fragrances,584
Villain Legacy Classic Luxury Premium Long Lasting Fragrance Eau De Perfum For Men,399,136,65.91,No,50 ml,4.5,399,12 mins,fragrances,263
La French Cuddle Perfume,299,99,66.89,No,30 ml,4.4,949,12 mins,fragrances,200
