Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Fablue Toy Truck Car ,299,124,58.53,No,6 pcs,3.3,340,9 mins,toys,175
Webby Toys Mini Finger Basketball Shooting Game,149,54,63.76,No,1 pcs,4.3,96,9 mins,toys,95
Einstein Box My First Box Of Storytelling,999,499,50.05,No,2 pcs,,72,9 mins,toys,500
Toyshine Space,1699,753,55.68,No,2 pcs,4.3,237,9 mins,toys,946
Fablue Magic Blow Pipe Toy,499,94,81.16,No,2 pcs,4.5,177,9 mins,toys,405
Fablue Kids 100 Pcs Blocks Toys,799,295,63.08,No,2 pcs,3.1,475,9 mins,toys,504
Toyshine Giraffe Wooden Abacus,799,331,58.57,No,2 pcs,,51,9 mins,toys,468
Babique Unicorn Plush Soft Toy ,364,134,63.19,No,2 pcs,4.5,364,9 mins,toys,230
Toyshine 3,1499,619,58.71,No,2 pcs,,66,9 mins,toys,880
Babique Dog Cute Plush Soft Toys ,378,186,50.79,No,2 pcs,4.6,378,9 mins,toys,192
Toyshine Junior Fast Sling Puck Game,599,264,55.93,No,2 pcs,4.2,566,9 mins,toys,335
Toyshine My First Art Easel Board,2999,1,99.97,No,5 pcs,4.7,731,9 mins,toys,2998
Einstein Box For 2,999,308,69.17,No,2 pcs,4.3,110,9 mins,toys,691
Babique Rattle Ball Plush Soft Toy ,230,59,74.35,No,2 pcs,4.5,715,9 mins,toys,171
Rotating Transparent Toy,999,269,73.07,No,2 pcs,4.3,572,9 mins,toys,730
Einstein Box Girls First Science Kit for 4,1199,599,50.04,No,2 pcs,4.7,457,9 mins,toys,600
Toyshine Plastic Carry ,1299,425,67.28,No,2 pcs,1.1,68,9 mins,toys,874
Abk Stacking Toy Rings Junior,159,18,88.68,No,2 pcs,4.2,943,9 mins,toys,141
Toyshine 2,899,399,55.62,No,2 pcs,4.8,77,9 mins,toys,500
Toyshine Battery Powered Robotic ,699,204,70.82,No,2 pcs,4.4,764,9 mins,toys,495
Toyshine My First Art Easel Board,2999,1,99.97,No,6 pcs,4.3,570,9 mins,toys,2998
Fablue Mini Basketball Game Toy ,399,180,54.89,No,2 pcs,2.6,75,9 mins,toys,219
Toyshine Friction,999,377,62.26,No,2 pcs,4.4,490,9 mins,toys,622
Aditi Toys Gear Mini  Bus ,599,299,50.08,No,2 pcs,4.6,230,9 mins,toys,300
Toyshine Abc Numero Magnetic Blackboard Educational Alphabet,699,288,58.8,No,2 pcs,3.9,65,9 mins,toys,411
DearJoy Unicorn Plush Soft Toy,1000,139,86.1,No,2 pcs,4.9,119,9 mins,toys,861
