Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Tomato Local,43,9,79.07,No,500 g,,500,8 mins,vegetables,34
Lady Finger,65,14,78.46,No,500 g,,500,8 mins,vegetables,51
Lady Finger,70,21,70,No,500 g,,1000,8 mins,vegetables,49
Brinjal Long Purple,36,12,66.67,No,250 g,,250,8 mins,vegetables,24
Beans Broad,46,14,69.57,No,250 g,,250,8 mins,vegetables,32
Beans Haricot,47,14,70.21,No,250 g,,250,8 mins,vegetables,33
Beans Cowpea,33,8,75.76,No,250 g,,250,8 mins,vegetables,25
Lady Finger,38,19,50,No,250 g,,250,8 mins,vegetables,19
Nagpur Brinjal,43,13,69.77,No,250 g,,250,8 mins,vegetables,30
Beans Cluster,43,21,51.16,No,250 g,,250,8 mins,vegetables,22
Tomato Local,26,6,76.92,No,250 g,,300,8 mins,vegetables,20
Brinjal Round Green,67,21,68.66,No,500 g,,500,8 mins,vegetables,46
Beans Broad,93,28,69.89,No,500 g,,500,8 mins,vegetables,65
Brinjal Kateri,44,20,54.55,No,250 g,,250,8 mins,vegetables,24
Brinjal Bharta,34,8,76.47,No,250 g,,34,8 mins,vegetables,26
Tomato Hybrid,42,14,66.67,No,500 g,,500,8 mins,vegetables,28
Baby Potato,62,14,77.42,No,500 g,,500,8 mins,vegetables,48
Brinjal Kateri,76,31,59.21,No,500 g,,500,8 mins,vegetables,45
Green Tomato,42,10,76.19,No,500 g,,500,8 mins,vegetables,32
Organic Potato,63,13,79.37,No,475 g,,475,8 mins,vegetables,50
Organic Tomato,65,14,78.46,No,450 g,,450,8 mins,vegetables,51
Organic Beans Cluster,58,23,60.34,No,250 g,,250,8 mins,vegetables,35
Coriander,62,20,67.74,No,250 g,,100,8 mins,vegetables,42
Coccinia,29,11,62.07,No,250 g,,250,8 mins,vegetables,18
Coriander,31,10,67.74,No,100 g,,100,8 mins,vegetables,21
Colocasia,20,7,65,No,250 g,,250,8 mins,vegetables,13
Colocasia,53,24,54.72,No,250 g,,1000,8 mins,vegetables,29
Bitter Gourd,48,10,79.17,No,500 g,,500,8 mins,vegetables,38
